Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50,Iter51,Iter52,Iter53,Iter54,Iter55,Iter56,Iter57,Iter58,Iter59,Iter60,Iter61,Iter62,Iter63,Iter64,Iter65,Iter66,Iter67,Iter68,Iter69,Iter70,Iter71,Iter72,Iter73,Iter74,Iter75,Iter76,Iter77,Iter78,Iter79,Iter80,Iter81,Iter82,Iter83,Iter84,Iter85,Iter86,Iter87,Iter88,Iter89,Iter90,Iter91,Iter92,Iter93,Iter94,Iter95,Iter96,Iter97,Iter98,Iter99,Iter100,Iter101,Iter102,Iter103,Iter104,Iter105,Iter106,Iter107,Iter108,Iter109,Iter110,Iter111,Iter112,Iter113,Iter114,Iter115,Iter116,Iter117,Iter118,Iter119,Iter120,Iter121,Iter122,Iter123,Iter124,Iter125,Iter126,Iter127,Iter128,Iter129,Iter130,Iter131,Iter132,Iter133,Iter134,Iter135,Iter136,Iter137,Iter138,Iter139,Iter140,Iter141,Iter142,Iter143,Iter144,Iter145,Iter146,Iter147,Iter148,Iter149,Iter150,Iter151,Iter152,Iter153,Iter154,Iter155,Iter156,Iter157,Iter158,Iter159,Iter160,Iter161,Iter162,Iter163,Iter164,Iter165,Iter166,Iter167,Iter168,Iter169,Iter170,Iter171,Iter172,Iter173,Iter174,Iter175,Iter176,Iter177,Iter178,Iter179,Iter180,Iter181,Iter182,Iter183,Iter184,Iter185,Iter186,Iter187,Iter188,Iter189,Iter190,Iter191,Iter192,Iter193,Iter194,Iter195,Iter196,Iter197,Iter198,Iter199,Iter200
CMAES,F5,1.71,459911705.97,449570032.14,438334537.2,424038357.81,407109033.52,389110514.31,368480177.33,343927678.93,315629502.29,288513837.24,254279039.91,222612591.42,191067795.82,159974508.49,131325974.1,103261415.46,87061464.22,74407270.23,67001554.97,65473386.43,58968251.37,64561705.03,75139880.12,71815559.81,76237199.38,79158811.04,70241099.83,63529665.24,55237839.7,50376402.19,40426237.06,36057184.67,35486793.42,29562003.13,26013323.17,22797503.83,13651519.16,14774939.17,10594871.22,8661944.34,7613201.54,6404731.57,4848031.47,4186042.66,3298012.25,2307594.18,2088286.16,1757343.36,1308547.65,1240488.13,957564.2,808484.76,650391.11,537238.94,423435.48,367494.84,292490.7,242533.33,209096.33,189240.69,138970.45,114457.29,85349.39,78812.24,80944.75,60346.44,53589.61,41209.57,38629.37,30432.38,29343.05,25299.56,21427.22,19960.27,15749.37,16218.14,14430.45,12495.65,11860.69,10670.71,9244.77,8274.17,8035.68,7001.21,6890.39,5620.32,5807.31,4802.66,4286.7,3836.85,3665.52,3332.11,3181.59,2989.94,2586.98,1998.03,2076.06,1778.91,1698.51,1733.74,1497.48,1197.92,1155.64,1068.29,940.95,863.24,754.14,772.55,673.27,660.1,636.82,621.26,557.61,565.77,533.72,518.47,483.39,458.95,446.56,423.31,413.33,403.32,392.28,375.19,359.83,348.43,337.07,331.0,309.51,309.29,304.03,298.26,282.91,277.9,262.85,262.59,261.27,260.02,250.86,240.28,239.85,230.59,221.7,222.23,213.39,214.21,207.77,200.76,197.69,189.74,184.46,186.85,177.28,174.06,168.64,160.21,157.29,153.89,154.4,151.67,148.34,141.29,135.85,138.8,128.89,129.63,128.86,123.08,121.09,122.69,123.19,118.71,116.79,113.23,110.87,108.76,109.57,106.67,106.41,103.93,97.31,99.13,95.96,94.17,92.52,91.95,91.77,90.22,87.75,88.19,87.37,86.72,85.91,85.23,82.82,80.91,83.12,83.08,80.16,78.85
CMAES,F12,2.19,1177705714.31,1149963378.39,1125413787.56,1101006470.83,1069022290.88,1031599845.68,990623359.6,942399149.38,885922064.43,817767300.14,745257155.49,672510685.08,592358964.59,501490472.76,421508810.72,335921351.27,277825275.91,211023128.33,172404373.74,147911036.04,141079048.39,112950152.66,100146339.23,95574289.1,90302230.23,71849746.6,88717575.71,75201412.44,84079133.47,66317093.38,64596246.31,53612568.75,47479737.36,35289326.12,34768992.5,22160668.05,17955123.28,15747648.65,10403994.41,7186595.74,5580171.42,2834096.55,2993580.05,1330948.06,693171.05,769287.64,358144.85,320192.46,132551.06,188255.72,89057.03,21595.87,23128.16,27009.79,13318.91,12534.04,3120.59,824.05,192.3,461.42,55.49,272.69,21.37,35.56,20.43,13.71,12.27,10.46,9.65,8.85,8.71,7.41,7.0,6.43,5.86,5.88,5.03,4.55,4.27,3.87,3.57,3.34,3.15,3.03,2.6,2.58,2.37,2.08,1.88,1.73,1.52,1.38,1.32,1.08,1.03,1.03,0.79,0.8,0.69,0.63,0.57,0.51,0.43,0.39,0.39,0.33,0.33,0.28,0.29,0.25,0.23,0.19,0.18,0.17,0.15,0.14,0.13,0.11,0.1,0.08,0.08,0.07,0.06,0.06,0.05,0.05,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMAES,F14,2.79,469.17,415.76,345.6,243.47,86.78,53.81,66.79,30.32,40.44,21.52,21.91,19.83,30.47,12.46,27.65,33.46,15.1,15.11,18.0,14.33,13.07,12.02,18.2,19.31,10.15,18.21,16.31,10.73,12.7,12.66,13.11,10.12,10.12,9.87,10.32,9.9,9.63,12.8,9.88,9.88,9.88,9.88,9.88,9.88,9.21,9.21,9.21,9.21,9.21,9.21,9.21,9.21,9.21,9.21,9.21,9.21,8.54,8.54,8.54,8.54,8.54,8.54,8.54,8.54,8.54,8.54,8.54,8.54,8.54,8.54,8.54,8.54,8.54,8.54,8.54,8.54,8.54,8.54,8.54,8.54,8.54,8.54,8.54,7.93,7.93,7.93,7.93,7.93,7.93,7.93,7.93,7.93,7.93,7.93,7.93,7.93,7.93,7.93,7.93,7.93,7.93,1.97,1.83,1.83,1.74,1.64,1.64,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.21,1.21,0.53,0.26,0.26,0.26,0.26,0.26,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,F5,8.28,0.0,27679851.72,8953646.86,5721865.88,4342883.41,3588140.44,3157372.24,2869892.82,2664769.97,2514497.8,2379106.13,2274828.99,2191095.68,2124836.38,2078204.61,2053720.51,2035986.3,2024708.33,2021599.07,2020629.03,2020629.03,2020629.03,2020629.03,2020629.03,2020629.03,2019564.2,2016626.93,2016050.73,2016050.73,2016050.73,2016050.73,2016050.73,2016050.73,2016050.73,2016050.73,2016050.73,2016050.73,2016050.73,2016050.73,2016050.73,2016050.73,2016050.73,2016050.73,2016050.73,2016050.73,2016050.73,2016050.73,2016050.73,2016050.73,2016050.73,2016050.73,2016050.73,2016050.73,2016050.73,2016050.73,2016050.73,2016050.73,2016050.73,2016050.73,2016050.73,1984436.55,1984436.55,1984436.55,1984064.95,1960344.87,1914791.19,1850280.82,1815304.43,1806783.9,1800572.41,1789252.55,1736019.95,1731942.71,1680617.6,1622028.94,1606957.07,1543448.35,1488087.26,1429098.77,1316078.09,1187808.41,1100285.07,1002144.39,921328.18,823973.77,780261.68,662423.47,569271.5,518056.65,429933.96,365971.81,323148.97,263336.99,207989.92,166073.88,145501.01,114909.29,93425.29,78070.98,64283.81,53600.36,43242.83,37018.97,30811.65,26150.17,21940.82,18042.0,14790.27,12373.98,10576.86,9203.04,7975.36,6865.31,5947.11,5257.21,4664.92,4187.37,3770.92,3411.7,3135.93,2872.94,2661.36,2483.48,2341.49,2224.77,2107.27,2011.02,1930.84,1858.83,1792.44,1736.03,1686.89,1645.69,1609.27,1576.21,1545.14,1517.91,1495.99,1475.77,1458.29,1441.88,1427.58,1414.9,1404.03,1393.78,1384.98,1377.28,1370.21,1364.13,1358.65,1353.97,1349.73,1345.88,1342.7,1339.73,1337.22,1335.02,1332.9,1331.19,1329.61,1328.2,1327.04,1325.94,1325.11,1324.31,1323.55,1322.92,1322.39,1321.92,1321.52,1321.16,1320.86,1320.61,1320.39,1320.18,1320.0,1319.84,1319.7,1319.58,1319.47,1319.38,1319.31,1319.24,1319.19,1319.14,1319.1,1319.07,1319.04,1319.01,1318.99,1318.97,1318.95,1318.93,1318.92,1318.91,1318.9,1318.89,1318.89,1318.88,1318.88
SSA,F12,9.27,0.0,21354090.48,2958019.67,1232723.97,719580.53,514174.34,396074.91,322794.88,287694.67,258864.26,237915.24,221106.57,208725.78,197458.27,189732.58,182830.96,173918.67,170206.53,167549.54,167549.54,167549.54,167549.54,167549.54,167549.54,167549.54,167549.54,167549.54,167549.54,167549.54,167549.54,167549.54,167549.54,167549.54,167549.54,167549.54,167549.54,167549.54,167549.54,167549.54,167549.54,167549.54,167549.54,167549.54,167549.54,167549.54,167425.73,167129.19,166988.39,166925.25,166901.37,166896.96,166896.96,166896.96,166896.96,166896.96,166896.96,165877.81,165379.53,165212.09,165212.09,165212.09,161169.67,161169.67,161169.67,158569.85,158395.68,158311.46,146558.53,132392.78,131615.23,131273.46,116115.12,115869.77,115834.16,108698.35,107282.4,89385.98,81595.83,75679.84,40965.34,33725.09,28888.72,25624.13,16720.98,16627.06,11484.26,7622.23,4517.1,3522.1,2345.01,2007.55,1873.48,795.67,770.7,285.02,229.75,210.81,139.86,97.36,69.24,47.57,40.67,29.9,27.57,25.44,24.44,23.29,22.0,21.29,20.05,18.84,18.09,17.2,16.45,15.7,15.14,14.54,14.11,13.59,13.14,12.69,12.29,11.91,11.5,11.2,10.97,10.77,10.54,10.33,10.15,10.01,9.88,9.77,9.67,9.57,9.48,9.39,9.32,9.25,9.19,9.14,9.1,9.05,9.02,8.98,8.96,8.93,8.91,8.89,8.87,8.85,8.84,8.83,8.82,8.81,8.8,8.79,8.78,8.78,8.77,8.77,8.76,8.76,8.76,8.75,8.75,8.75,8.75,8.75,8.74,8.74,8.74,8.74,8.74,8.74,8.74,8.74,8.74,8.74,8.74,8.74,8.74,8.74,8.74,8.74,8.74,8.74,8.74,8.74,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73
SSA,F14,8.48,0.0,31.52,13.03,10.91,10.45,10.24,10.04,9.84,9.61,8.98,8.97,8.36,8.34,8.28,7.88,7.21,6.81,6.78,6.77,6.52,5.9,5.26,4.98,4.78,4.76,4.68,4.32,4.11,4.11,3.95,3.76,3.74,3.71,3.66,3.54,3.54,3.54,3.54,3.54,3.54,3.24,3.09,3.09,3.09,2.99,2.81,2.7,2.44,2.44,2.44,2.42,2.32,2.32,2.27,2.27,2.27,2.17,2.17,2.17,2.15,1.97,1.94,1.92,1.88,1.82,1.81,1.78,1.78,1.7,1.69,1.66,1.59,1.56,1.56,1.56,1.53,1.53,1.53,1.53,1.51,1.51,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49
PSO,F5,5.77,256315038.37,123937589.52,49264343.81,16367456.83,7114725.42,5674651.54,4666906.95,3925165.83,3403893.71,2850789.71,2370507.4,1974580.72,1688919.68,1441747.01,1285428.18,1181519.51,1097529.76,950241.84,809852.91,704710.34,623431.16,560013.13,504602.14,454118.3,420137.21,396349.36,357677.06,332369.01,307607.56,283550.82,264432.67,247010.57,231020.08,208542.14,196094.94,185562.68,174753.53,159995.94,150365.13,142048.74,137575.57,127118.47,121927.79,117148.63,114899.85,107796.7,105380.55,102141.28,99693.7,94052.1,92461.08,85783.83,79166.18,72999.13,71907.12,70707.3,69939.43,66712.63,64499.16,62507.17,60672.86,59257.15,56994.71,53381.63,52778.42,51222.3,50325.35,47533.01,45654.88,43458.81,41822.91,39230.82,37502.66,36516.2,35005.05,33713.57,31936.53,30108.07,28780.55,28350.37,27056.31,25659.07,24710.14,24030.78,22370.67,21725.24,21442.88,20888.84,20157.78,19230.9,18676.09,17514.78,16695.15,16136.21,15637.67,14642.62,13940.48,13514.0,13043.34,12843.46,12248.68,11948.07,11541.66,10924.59,10769.83,10332.15,10068.73,9589.09,8795.52,8528.35,7584.56,7344.03,7203.04,6968.59,6645.62,6331.13,5839.74,5728.21,5521.74,5217.87,4960.49,4784.84,4553.97,4289.33,4125.28,3908.2,3761.5,3649.12,3529.93,3437.72,3292.6,3213.02,3059.5,2976.47,2853.08,2751.09,2606.95,2369.08,2263.02,2202.17,2064.22,1995.39,1917.14,1839.98,1785.57,1699.2,1629.93,1520.22,1451.87,1414.01,1367.55,1287.19,1254.28,1217.75,1184.15,1121.25,1060.68,1019.82,991.02,953.3,925.47,893.54,858.65,813.83,784.28,769.72,745.31,723.71,699.06,687.7,673.49,653.21,639.42,620.38,597.04,582.53,565.76,546.08,535.39,521.78,513.26,505.18,495.87,487.47,472.34,462.99,455.5,448.72,442.28,436.3,427.61,415.83,410.37,405.21,397.04,389.95,382.43,375.12,369.4,361.92
PSO,F12,6.36,574917930.32,339424385.04,149126497.36,53344581.66,14625203.64,3309108.47,729384.27,215479.07,66685.17,18164.01,11442.98,4097.25,1768.25,1210.45,588.65,492.8,131.58,121.1,75.08,53.22,43.15,40.49,39.01,26.96,23.32,23.12,22.92,22.1,21.52,20.89,19.35,17.95,17.33,16.76,16.23,15.63,15.37,14.87,14.29,13.37,12.69,12.27,12.06,11.56,11.37,10.94,10.62,10.23,9.91,9.62,9.35,8.91,8.7,8.43,8.25,8.12,7.78,7.7,7.45,7.26,7.19,7.0,6.9,6.68,6.57,6.45,6.36,6.17,6.09,6.02,5.81,5.56,5.29,5.12,5.05,4.94,4.85,4.81,4.61,4.5,4.42,4.25,4.14,3.97,3.82,3.69,3.63,3.55,3.47,3.38,3.29,3.24,3.11,3.04,2.99,2.92,2.81,2.76,2.69,2.61,2.54,2.4,2.32,2.21,2.15,2.0,1.95,1.91,1.84,1.75,1.7,1.66,1.61,1.52,1.49,1.44,1.38,1.34,1.29,1.26,1.2,1.18,1.11,1.09,1.05,1.0,0.97,0.94,0.92,0.87,0.84,0.81,0.78,0.74,0.73,0.71,0.69,0.67,0.65,0.63,0.61,0.58,0.56,0.54,0.53,0.52,0.5,0.48,0.46,0.45,0.43,0.42,0.4,0.39,0.38,0.37,0.35,0.34,0.33,0.31,0.3,0.29,0.27,0.27,0.26,0.25,0.24,0.23,0.22,0.21,0.21,0.2,0.19,0.18,0.18,0.17,0.16,0.15,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.07
PSO,F14,5.13,135.19,31.39,19.54,11.11,8.4,6.12,5.91,5.05,4.93,4.37,4.33,4.33,4.2,4.11,4.03,3.89,3.86,3.85,3.82,3.72,3.68,3.51,3.47,3.45,3.45,3.44,3.41,3.41,3.37,3.37,3.37,3.37,3.34,3.33,3.19,3.16,3.16,3.11,3.07,3.07,3.04,3.03,3.03,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.98,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.88,2.88,2.88,2.88,2.87,2.87,2.87,2.87,2.87,2.87,2.87,2.87,2.87,2.87,2.87,2.87,2.87,2.87,2.87,2.85,2.85,2.85,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84
GWO,F5,6.08,256315038.37,184699392.63,107710530.63,78833443.46,54327246.03,39683966.38,25558228.3,16542027.49,10939067.67,6973404.83,5122643.05,3692180.99,2568305.55,1753042.55,1101656.2,693407.12,499780.58,342628.13,200950.41,133384.76,91791.65,58902.45,39263.6,23346.74,14168.77,10221.57,6342.12,4664.03,3124.1,2382.51,1745.26,1272.27,963.34,703.38,558.53,404.77,313.35,242.71,177.27,144.79,121.62,99.85,84.03,73.49,64.37,57.67,51.73,46.99,43.78,40.76,38.25,36.97,35.63,34.5,33.85,33.25,32.52,31.79,31.53,31.33,30.64,30.31,30.02,29.91,29.82,29.75,29.66,29.62,29.4,29.3,29.28,29.15,29.13,29.1,29.07,29.05,29.02,29.01,28.99,28.98,28.96,28.91,28.9,28.88,28.88,28.87,28.85,28.85,28.83,28.81,28.76,28.66,28.61,28.57,28.56,28.56,28.54,28.53,28.53,28.51,28.51,28.5,28.49,28.49,28.48,28.47,28.46,28.45,28.44,28.35,28.34,28.34,28.33,28.33,28.33,28.32,28.32,28.31,28.31,28.25,28.25,28.25,28.24,28.24,28.24,28.24,28.24,28.23,28.23,28.22,28.22,28.22,28.21,28.21,28.18,28.18,28.14,28.14,28.14,28.13,28.13,28.13,28.13,28.07,28.07,28.07,28.07,28.06,28.06,28.05,28.02,28.02,28.01,28.01,28.01,28.0,28.0,27.99,27.99,27.99,27.98,27.98,27.98,27.98,27.97,27.97,27.96,27.94,27.94,27.94,27.94,27.92,27.92,27.92,27.91,27.91,27.91,27.91,27.9,27.9,27.9,27.89,27.89,27.89,27.88,27.87,27.87,27.87,27.87,27.87,27.87,27.86,27.86,27.86,27.86,27.85,27.85,27.85,27.85,27.85
