Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
CMAES,F5,0.43,396995082.67,384970249.89,367300532.65,357704909.06,342784165.0,327368115.1,303516461.88,285260264.84,258209686.03,228056193.86,196985678.18,171635274.15,127847694.23,107019535.01,77856204.71,70559173.14,68468927.33,57938295.71,74954292.68,86042091.91,82090097.41,76134231.61,70701066.85,59866963.67,66086076.69,64350457.56,94051236.65,75310120.48,40044073.03,47804181.29,37173241.77,40444695.3,33441642.15,21423954.81,24726557.29,24651511.28,18544391.06,9797424.47,7657479.02,8858543.13,7534631.88,7695747.94,4734090.94,3900369.23,2989025.56,2234207.56,2590836.11,3524481.45,1759029.95,2142315.57
CMAES,F12,0.54,1528496986.19,1498948572.37,1470629593.46,1442030077.72,1410980391.78,1371876730.87,1316681369.8,1244186838.07,1188234981.14,1105649149.74,1031385435.5,966255094.54,866716407.57,743435308.31,588373872.15,506494193.4,473642770.18,365941386.3,298648879.46,243539089.89,232370067.62,161969580.2,134454475.29,177396746.99,165186060.55,202222493.32,154000551.13,143765891.89,119701315.14,76675749.0,111402130.41,153724649.39,57751538.99,63207001.57,26892393.6,20877061.48,18836588.15,16854315.96,10044479.03,10134789.25,10001947.62,6872937.81,2682669.8,4390004.48,1677705.21,1821340.74,264475.14,141616.77,213511.06,40456.15
CMAES,F13,0.59,2123031520.25,2096533812.51,2061286781.48,2005425447.54,1938218264.52,1891463446.08,1837852811.97,1720241977.61,1598157030.47,1508614234.1,1422734667.93,1244236047.23,1090739446.47,1030115523.86,849707575.23,650088756.35,537718126.15,404752082.55,318538552.21,336424367.08,287533996.88,135990831.59,253652572.11,258315488.13,302581539.04,350140880.87,213272463.65,324695652.32,367492425.71,316746486.77,252360466.57,335282971.45,416952752.36,285840720.71,306836336.66,214663337.29,322560030.89,272500888.97,156847599.5,170423487.3,175480770.71,82166416.42,102338377.65,90212757.46,46660403.45,44909789.23,44237643.49,28936407.61,22022274.44,15765325.31
SSA,F5,2.01,0.0,23824928.97,7476774.31,4546422.8,3419256.25,2684234.66,2387059.08,2256694.13,2246555.83,2238200.1,2229277.39,2219408.6,2208613.49,2203623.49,2203623.49,2203623.49,2203623.49,2203623.49,2119307.38,1736595.05,1219361.89,1128507.62,1031929.65,844637.71,650175.98,498121.18,408099.43,363633.96,329202.82,306006.01,292131.04,281989.28,273052.15,268720.71,265032.98,262504.12,261291.19,260536.04,260011.05,259722.07,259526.78,259403.08,259330.52,259291.8,259270.01,259257.06,259251.25,259246.84,259244.91,259243.78
SSA,F12,2.24,0.0,21959246.4,2456470.15,1092686.07,725602.44,518084.16,383588.05,237700.11,160460.73,122039.05,100964.54,90879.55,82810.74,76073.62,70389.01,65591.21,61549.54,58151.6,58151.6,32492.78,11422.68,7859.2,162.07,159.36,52.67,35.66,29.88,25.34,21.94,20.28,18.46,17.5,16.81,16.4,15.89,15.65,15.5,15.39,15.33,15.29,15.27,15.26,15.25,15.25,15.24,15.24,15.24,15.24,15.24,15.24
SSA,F13,2.28,0.0,85535728.75,25381494.44,12712688.57,9157208.73,7784364.8,6872415.79,6009532.61,5293452.62,4733734.64,4297856.46,3886236.71,3568236.88,3331737.46,3120149.35,3012494.53,2909880.78,2825569.11,2810014.62,2471140.84,2136216.69,1696736.8,1421849.89,903541.68,445490.58,297969.05,221331.96,173281.85,145191.72,122482.37,107980.23,99194.52,92744.69,88381.36,85876.55,84664.63,83854.67,83232.34,82855.54,82714.12,82632.57,82535.66,82467.36,82446.75,82433.77,82426.5,82422.45,82419.95,82418.69,82417.92
PSO,F5,1.42,270075135.5,120483767.05,49837557.18,15337298.95,6592735.55,4758332.35,3613363.11,3092007.64,2648383.97,2250007.5,2027014.71,1519487.75,1380042.2,1144066.65,694872.93,615635.13,569655.23,566869.79,529283.94,463285.16,407468.45,369687.21,321458.87,281357.25,280359.25,223955.2,216882.2,197703.21,165101.34,155883.74,130222.26,119283.8,116352.51,99441.43,87574.84,79141.69,71318.55,55329.6,55149.17,46604.08,45824.37,43976.83,41802.66,38185.32,36043.85,33749.28,28505.73,22472.85,21818.54,18498.18
PSO,F12,1.58,570299219.37,324388894.98,136407251.74,53546517.34,14494358.49,2682788.83,328478.28,217624.9,14880.19,4332.28,3125.05,3049.75,2593.52,872.33,264.1,39.47,36.59,28.41,28.41,26.96,23.16,19.69,19.32,19.32,19.32,15.45,15.45,15.45,15.45,15.04,15.04,14.63,13.25,13.25,12.99,12.06,9.79,9.79,9.68,9.24,8.71,7.97,7.97,7.31,7.07,7.07,6.62,6.41,5.68,5.47
PSO,F13,1.6,1248401311.79,774019408.97,407208366.07,174526533.54,75973836.85,26532092.09,9416114.48,5260573.77,3147689.38,1926274.24,1555945.02,997346.33,867755.33,706009.45,336871.96,263615.69,159306.98,108516.95,70806.05,69481.54,66594.64,58559.83,36272.41,10121.51,9924.29,6838.01,6502.53,6406.83,4837.28,4825.95,2441.22,2415.73,983.39,976.01,965.59,446.92,444.74,442.71,155.2,92.49,71.5,41.98,40.35,36.97,33.27,27.81,27.0,25.47,22.76,19.53
GWO,F5,1.5,270075135.5,180942520.49,145936530.74,93727846.35,64293444.78,38449743.98,26063958.72,14306985.26,8853210.03,4724988.38,2497313.21,1401667.53,997880.97,739924.32,423088.94,266340.63,151482.97,93826.7,49537.04,31270.65,23095.66,16080.82,11482.93,8743.73,7227.12,6080.19,4367.2,3171.42,2609.49,2080.59,2003.62,1492.59,1291.71,1120.4,999.55,906.85,793.32,754.04,696.54,632.51,590.95,545.34,517.98,491.68,471.03,458.13,447.92,438.17,430.51,425.33
GWO,F12,1.16,570299219.37,334358200.91,195620321.11,111364528.39,32390132.54,32390132.54,12572808.15,8444555.89,3815045.18,1231754.43,100721.4,25232.42,13483.62,11461.76,7387.86,846.91,469.58,184.99,14.49,14.49,11.9,11.05,9.86,7.26,7.02,6.4,5.53,5.05,4.98,4.8,4.76,4.73,4.56,4.22,4.21,4.16,3.69,3.55,3.55,3.47,3.4,3.29,3.25,3.17,3.14,3.12,3.09,3.05,3.01,2.96
GWO,F13,1.22,1248401311.79,738025520.51,512589263.23,260978174.6,192440450.03,108371518.44,89489921.27,25789090.96,17767359.52,8222729.05,4194530.65,1419630.06,689805.43,363119.81,129802.26,22909.73,12243.03,6531.76,2529.51,505.12,233.87,186.47,182.98,146.07,66.4,36.18,26.93,22.82,19.53,18.67,16.43,15.53,14.91,13.96,12.45,12.24,12.14,12.14,11.89,11.73,11.3,11.3,11.24,11.23,11.23,11.15,11.08,11.03,11.03,10.91
