Optimizer,objfname,ExecutionTime,Individual,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
CMAES,F5,0.45352911949157715,"[-3.62866472 -6.90318918  8.73261613 -1.8624708  -8.81458955  6.17857928
  1.1034752   5.59935749  6.31274262  3.95009986  1.23693235  7.85549722
  3.04662731 -7.64705914 -4.16445583 -3.45762371 -1.78857545 -7.92005211
  0.20817124  6.27307436  0.28090672 -5.79363835 -0.32947135  6.16267438
 -1.02808626 -2.06884707  3.64452442  7.57640163 -5.252408   -6.25547994]",499229597.1400775,486692332.8456681,471181577.5279272,462498713.4188114,438290961.18045986,422151589.9949669,402701926.1140391,370675470.8128677,333962387.0608487,285600672.93084556,245079756.1989214,210726810.49951196,118672001.57303362,102627474.82323544,57252321.63199421,62588064.726416916,61310463.56526349,77401268.05529495,124780360.92417972,134256786.35770577,147906037.3761587,124619699.56410871,96954618.09073399,60706009.553918816,103369747.47393516,62943916.62226796,152499112.34707454,103459179.89163537,49548971.73958223,62264680.14287252,60294502.03418481,91891514.219939,57776452.65746737,45781877.780323364,55716198.99277683,57878401.07608897,42673409.98767865,19378929.30419802,14809359.810475811,22314034.89787193,16757882.62153874,18985212.335899252,10405221.469057022,8433911.546309125,6984188.573167919,4763316.255836407,6055996.930659251,8542825.989357132,3857632.833328356,5105663.146556351
CMAES,F5,0.4002201557159424,"[ -0.53034938   3.54462979   1.32827054  -3.46345563  -0.37878436
   1.44189956   1.77525825   2.79072341   1.75409826  -0.36780621
   3.93507259  -0.45694499  -4.46095096   1.940061     3.47572517
  -2.21110895  -5.20462907   1.67915915  -0.76382503   2.00272684
  -0.61279541  -3.48817784   0.94701865  -3.58817724  -0.58838656
   1.17320552  -3.84509663  -4.48201539  -0.87190823 -25.95049819]",270086030.03544706,257019473.3341874,240109184.74801788,230122398.8512517,219237257.4218835,205834589.97534359,177835626.62322104,172417659.3693505,157631502.29292947,127277513.61381865,98686699.36221287,83159704.09867701,93490076.48662572,84178086.59005803,65470566.423935995,50086344.64964591,44643492.107856065,32448782.449587885,49428735.4727142,52836599.732765086,53889870.86283279,35912005.18422243,57827702.00787348,40769096.23252222,30090359.97889324,35403472.66799877,34206823.69100837,34481845.282257505,19726518.699983366,16019050.328754893,16999890.208736088,8803373.270533336,5728739.597024515,8306473.408333199,4038229.170213372,5614554.191432754,7350819.547346009,5827576.814539557,4595232.168959981,2062616.7145078774,2453181.6596533307,1319654.3747219448,1331708.567109546,886993.5449684245,1125077.8788086153,818811.8969426682,919165.7435600213,548488.4206992333,386512.95085859025,471518.7569652929
CMAES,F5,0.4273381233215332,"[  1.79949489  -2.97130577   0.82959936  -3.57499669  -6.0723772
   4.78770244   3.15304774   1.40555598   3.4758006   -0.72548007
  -3.72159224   3.05301494   3.60400902  -5.05534302  -2.42165625
  -2.18831491   1.31839896  -1.88601755   0.18179208  -0.84262826
   2.47200888   0.06753865  -6.33602411   2.59875693  -0.04821107
   1.25852082  -2.47927687   7.05958292   2.35864836 -19.88597114]",421669620.8404952,411198943.4775732,390610835.6839347,380493614.9171398,370824276.3902722,354118165.3402261,330011832.9107319,312687664.33301854,283035168.7432858,271290395.02882636,247190578.99324188,221019307.85751674,171381004.64301708,134253043.6147742,110845726.07318348,99003110.04098311,99452826.3222833,63964836.627563834,50653781.630841844,71032889.6319366,44474384.003791556,67870990.073589,57320880.44288795,78125785.22974733,64798122.60462745,94703983.39272623,95447773.91851567,87989336.28057761,50856728.66404759,65128813.40444532,34225333.05562024,20639198.419082973,36819734.19957019,10183513.251115551,14425243.709074296,10461578.5872611,5608943.653070872,4185767.305404765,3567845.08219575,2198977.771613691,3392831.366594396,2782377.096086863,2465342.7937373333,2380202.5934052803,857810.2170014053,1120494.5312208342,797345.6609203448,1482129.945496622,1032944.0741398176,849764.7964460083
CMAES,F12,0.5322306156158447,"[-12.22783779  11.13704166   2.35514204   6.01594685   3.2497066
  -1.56491495 -11.18850723   5.21496201   5.78350368  11.35899966
 -10.67367382  -6.64413075  -4.99408488  -7.99741207  -4.37679687
   4.00980806   7.74886662  -4.72598052  -4.36339752   4.20022317
 -12.97155054   1.4892601   -5.52496088  12.46942051 -10.75577899
   3.53667754   5.98091976   5.19214179   0.53673397 -12.04741944]",1714584227.775086,1694842324.4386861,1671073446.2075107,1628581229.6722229,1589144949.3774447,1547902566.7336326,1467635744.7396495,1368801435.6392305,1315749558.3763769,1180623561.0529518,1065927961.9351511,1003830773.2134488,897424896.199152,711117049.0976481,509004501.0721342,435381259.3256398,421829694.02823955,332014335.5545108,263664653.7757155,125436360.56200765,253089479.001454,81288127.40324256,141697799.67285883,252174361.43396083,297673125.914102,382795374.8524815,272356930.5407052,298206713.9133565,248191749.31674895,152631637.71860036,111495540.31871688,100131146.29509348,62239266.41502511,58331508.39881381,18417325.479223326,13520642.78460559,4495770.267381019,5010100.7157687545,4984503.878736997,2035172.3624636917,3426811.1803468494,1782417.9895917384,3902318.6076785363,6998876.318621052,3134142.7953786002,959845.8932781552,343530.4960667102,301601.16159589286,176685.93511402523,16566.42951089024
CMAES,F12,0.5354671478271484,"[  3.23388448   6.52678425   3.2146524    7.49899759   5.89258336
  -9.15283652 -11.20928225  11.27821471   7.03426459  -3.77213143
   1.86235058  -5.24037798  -3.03119265   9.47533239  -6.09824641
  -6.5248609    1.06209674  -6.44558345   3.7205025    0.80274835
   3.04535878  11.16713556   5.77615989 -12.01757734  -5.12021542
  -6.8248971   11.06694475  -3.54308894  -4.86633538  -3.10329008]",1240950145.6613271,1215157296.8839011,1192531155.8682153,1180757759.998968,1160657012.18848,1129886696.861417,1100480526.8358805,1046736729.2216454,1002790128.9098454,932078787.248166,900583851.097947,825628141.2976741,751390921.1670939,666196746.2558548,520403561.981981,454209986.3914229,433813828.6078769,342147139.73253506,245877525.58944517,223966772.48143202,144492360.49651808,118327488.91115913,37047693.208155796,106868166.07998078,65678122.27679834,132120481.89178948,125011881.06435597,110622933.20518108,57102215.59211802,39250890.992756456,109792123.83814694,190143122.80582368,47696698.87778726,84523294.48669975,39752498.28209643,32734878.67831676,23384766.984034576,28831915.753252603,13639481.892121311,23540819.57220105,15370899.36676674,16830058.67705324,3534784.1829346935,5390298.624223299,1286880.53927038,3608751.6287396434,170191.62164637813,58878.08013807228,387443.1662545405,2502.475308355442
CMAES,F12,0.558835506439209,"[ -7.69846829   5.0017301   10.34478466   8.44620413  -8.44845306
  -8.58321856  -3.88116632  -7.11017297   9.72938784  -3.06053887
   9.44157153   8.83894411   9.2205225   -2.85245437   2.57485746
   3.02490827  -8.38273085 -14.98018303   3.48267243   4.92541906
  -3.004933    -6.5650699   -1.03045041 -10.23043232 -12.29709663
  -1.73859609   5.62599914  -1.63496465  -3.77761959   9.75017045]",1629956585.123109,1586846095.790579,1548284178.2980757,1516751243.501603,1483139213.7805486,1437840929.0266366,1381927837.8278167,1317022349.360283,1246165256.1275241,1204245100.92704,1127644493.4699275,1069306369.1176072,951333405.3506719,852992129.576847,735713553.3882744,629891334.4729842,565284787.9138403,423662683.62689155,386404459.0149646,381214136.61852664,299528363.3695392,286293124.2933561,224617932.9807053,173147713.44479766,132206933.4695156,91751623.20524564,64632841.773609154,22468028.555329163,53809980.51985207,38144718.27981244,112918727.07544139,170899679.07857832,63318651.69041078,46766201.83546289,22507357.032963127,16375662.969470413,28629227.187469773,16720931.406152546,11509451.325961478,4828375.808514226,11208132.320605444,2006336.7620388283,610906.6031111005,780838.5091110707,612092.3058883501,895424.7110898347,279703.3166829955,64371.05481430226,76404.0862506395,102299.54266812692
CMAES,F13,0.6191637516021729,"[ 17.36702229   3.73170773  -0.44323428   9.00998969  19.01649762
  15.26885405  -3.98800994  19.23524481  -1.54658848   7.61935526
  -4.28718951  -5.11923995 -12.34502885 -16.73583038   6.19503125
  -7.6960023  -15.27528649  -4.86091544  -5.06371528  18.326211
  10.73552724  26.16749487  18.52327699  19.85501606  13.88566483
   7.83715173   4.50359109  -0.34877801  -5.66636929   0.03712752]",2961434203.6853805,2941302661.2166667,2915885780.0404477,2836794330.362931,2771692747.005422,2716560046.0628877,2630621990.1345363,2524419721.546581,2384900549.8084235,2276585697.933985,2149157355.862269,1868895205.0920615,1731019946.8006,1715201000.9587064,1363187740.991652,1035995459.0464666,848353797.8458437,607009728.3607124,514824301.3029497,623348880.117001,557695531.6519805,259565932.9073911,464660921.14265037,597020242.5069505,661305042.0642066,733318288.7334816,274651803.17860955,570299810.889443,689210736.0197022,578117143.3931708,484395294.6243631,760990805.7888736,1056401039.688788,730392412.6134574,847731588.5753312,569233406.5120459,893268537.1628228,789147660.8238794,439141840.0854843,492980493.0410259,496695133.8250656,238779398.33217973,292964510.4272235,265340521.7104923,135556034.3726748,133214037.23655723,130362267.64848967,84353860.61671112,63956225.58941824,46938691.250532806
CMAES,F13,0.560840368270874,"[ 4.62208811  2.22925114  2.3135552  -0.98797137 -4.96254129 -6.97244478
 -4.98686528  4.00149961  1.6492451  -0.92847563 -3.36993913  0.65221386
 -2.29475597  0.45643014  4.2012061  -0.92205734 -5.92178569  5.96445265
 10.99143182  4.61973976 -3.29961166 -0.13609774 -5.14840969 -4.60022493
 10.19685382 -4.92597822  6.24633623 -2.07650773 -9.74518171 -2.79717499]",2103183369.5856743,2071652662.0874434,2017501071.4266515,1957987490.9728436,1887282409.115621,1824540408.4670107,1796821558.7122545,1637597494.6930027,1421703593.660219,1417979537.016838,1284267743.6610763,1166858347.0894494,868475353.212397,854584157.6562259,749672873.7563093,560936119.2683315,570963912.8223234,397248547.12433904,306673631.7625406,248749635.14864385,189502598.28719372,121406298.60477848,215371196.41005945,80594762.64930418,135263879.37735385,228274965.56796807,259955340.05378348,245234642.02052084,326064814.16537696,254411307.33416373,96634174.95117956,107018659.34387352,87342092.74360506,43081201.632877946,34135768.13495482,24947848.433616184,38603949.54879289,16776960.663220957,15670132.066524269,11768212.634470934,19617971.85560379,6757828.833087835,8325659.368231821,3696378.5887344386,1550221.3601010146,580581.7117549889,2272783.36327366,1938703.5844493513,1849765.7780097816,254522.19337559066
CMAES,F13,0.6005446910858154,"[-0.35655649 -6.41899822 -2.62445593  1.43391592 -3.51313326 -0.89526831
 -0.65398546 -6.03573772 -4.4117339  -1.59530725 -0.62944091 -2.7380469
  8.61162014  4.19365875 -6.30194353  1.48526765 -8.38626372  6.3244384
  4.3436228   1.15364928 -5.46075198 -2.77083027 -5.22933277 -4.97403214
  0.43506096  0.13642225 -5.72352603 -5.85092446 -9.11488803 -8.64848608]",1304476987.481462,1276646114.2163055,1250473492.9661243,1221494521.2926748,1155679637.4276452,1133289883.7120702,1086114887.075976,998708716.5869331,987866947.9536945,831277467.3547512,834778904.2532182,696954589.511708,672723039.3935276,520561412.9685582,436262110.9565412,353334690.74628127,193836667.7727009,209997972.16893435,134117723.56500742,137174585.97970465,115403860.70480774,27000263.24868718,80925598.77648999,97331459.2413594,111175695.68303536,88829388.3196561,105210247.73000477,158552504.06352952,87201726.9459639,117711009.59115562,176051930.13551658,137839449.21069863,107115124.65431364,84048547.87628551,38641653.2651733,49808756.91522421,35807605.95627881,11578045.424199149,15730826.355210291,6521756.217753215,10129206.44162676,962022.0975154942,5724963.151256298,1601372.0671360923,2874954.6251165043,934748.7286395505,77879.45983748014,516658.61931315763,260831.9475795486,102762.48457627659
SSA,F5,2.0241994857788086,"[-4.14866249 -2.46472573  2.0649147  -0.67732148 -4.67520233 -1.87390663
 -4.25635229 -1.80558119  2.42425401  1.4676346   4.0961493  -0.55570788
  3.15394678 -4.15831054 -2.98176624 -3.18134878 -1.6939288   1.49616054
 -1.86911433 -2.83404607 -1.36555431  3.5921193   0.23622102  4.02049968
  1.34458765 -3.58952826  2.28427547  4.57309117  2.26318386 -6.99071094]",0.0,20791862.5734189,6412995.32473207,3682900.1272221683,2815467.375595412,2243994.214371853,1794984.3463178384,1476135.0121039546,1476135.0121039546,1476135.0121039546,1476135.0121039546,1476135.0121039546,1476135.0121039546,1476135.0121039546,1476135.0121039546,1476135.0121039546,1476135.0121039546,1476135.0121039546,1476135.0121039546,1476135.0121039546,1476135.0121039546,1377832.464003151,1233614.2524095955,921406.8729594504,838071.8975015114,684182.4455608947,579419.011977155,526459.8761639531,477332.0229471611,453376.1244859207,436810.1201883278,420617.213601546,408699.2145188816,402243.0644546208,397602.1766820166,393534.5490827922,391829.3590337216,390768.9867533445,389807.7742563229,389380.53765507165,389110.97555566824,388943.5003650212,388854.62606876966,388806.47704409854,388779.56738358206,388760.5746874621,388753.1266174584,388747.4894597428,388744.62585058366,388742.3793740849
