Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50,Iter51,Iter52,Iter53,Iter54,Iter55,Iter56,Iter57,Iter58,Iter59,Iter60,Iter61,Iter62,Iter63,Iter64,Iter65,Iter66,Iter67,Iter68,Iter69,Iter70,Iter71,Iter72,Iter73,Iter74,Iter75
CMAES,F5,0.63,531097867.88,522820586.65,508335235.39,492247553.15,476355833.11,459422174.54,437653748.3,407572250.61,368179835.1,341773249.31,306797304.28,269089978.41,227515761.15,196329495.46,171719965.5,135910836.89,114407987.37,93298251.46,95110621.41,70272721.14,71823033.82,74058352.79,97403412.94,72769627.22,59651226.41,76474627.42,73882186.42,60222717.73,72903624.17,44984283.74,47307402.47,35824866.96,29566293.73,27783483.29,18335954.11,12636245.05,9470389.12,14016384.25,11857455.62,8480921.15,5808443.74,4682027.02,3617531.24,2192209.58,2896854.4,1683597.19,1772737.92,1748105.75,1367920.62,919125.63,673208.44,489531.19,349716.35,344031.76,315338.62,407947.66,267131.84,219333.82,193457.49,207984.78,119763.99,103109.61,84279.83,78410.66,65949.1,48400.25,45271.97,40348.29,26397.05,28732.47,26026.18,13586.82,16085.93,16912.44,12119.01
CMAES,F12,0.82,1024880642.09,1006362815.08,977207478.29,945413010.45,917804804.73,875019021.2,838655565.57,777542184.6,714808024.63,645716131.78,584358937.22,504614241.0,450614550.76,369423959.24,286552675.05,234510187.62,211128706.51,139926942.05,100298935.5,78454385.92,103295551.57,58511501.41,32480730.99,27944385.46,51126224.49,42782490.36,103264696.66,69478800.75,87817907.89,70804436.79,73654158.69,61184357.69,56881019.86,12857212.71,10513240.5,11497896.96,14128405.86,3483625.96,3057630.18,1933194.09,499014.06,1215591.87,1072722.74,508990.9,108864.46,61805.26,70576.18,120690.12,3735.12,620.41,4501.62,5122.88,1593.18,306.11,34.49,373.37,270.96,17.82,15.29,14.65,13.19,13.16,14.49,11.51,9.32,9.64,8.84,7.27,7.63,7.23,6.02,4.46,5.78,4.51,4.37
CMAES,F13,0.9,2401725360.32,2367978679.56,2321586379.98,2269183478.22,2241492284.08,2165819623.03,2104913587.22,2044113716.26,1924165538.26,1866435460.75,1755612738.72,1618298354.63,1511986523.06,1363368510.77,1163825582.96,1020831732.77,913044251.69,659739123.82,556784668.16,454318267.88,312953674.31,364519976.66,288930645.85,231966737.62,237341978.32,270302035.24,212068578.85,239807542.41,135324777.72,222256738.37,202877394.51,193376579.62,209451431.29,210344729.52,260435940.89,162565260.57,119220011.18,87388979.94,53068274.03,28597032.78,14483182.38,15179306.75,27287093.92,4769171.56,6986966.32,5905585.07,9655220.19,5141363.12,4477551.95,2570535.46,1668667.71,461698.09,482343.02,549964.65,150044.48,155611.23,176132.27,67823.49,50724.71,3128.69,26161.1,40349.64,13783.35,8512.5,2063.91,388.48,93.12,441.45,104.74,27.22,25.36,37.56,27.38,27.81,20.68
SSA,F5,3.24,0.0,23825727.74,7474998.03,4544677.9,3419247.09,2689648.26,2392503.19,2266964.28,2261418.39,2257441.31,2252764.47,2246870.09,2239660.92,2235394.22,2227218.2,2176053.22,2133307.47,2096925.5,2096925.5,2096925.5,2096925.5,2096925.5,2096925.5,2096925.5,2096925.5,2096925.5,2096925.5,2096925.5,2002102.08,2002102.08,1937772.29,1680771.14,1470158.49,1392707.66,1161085.41,837406.48,667940.81,539812.03,434255.55,382454.77,317888.65,270059.2,237186.69,220795.22,205288.23,190254.24,179649.14,172653.22,167048.46,162870.14,160331.07,157611.21,155776.17,154575.84,153727.2,153222.25,152765.08,152482.85,152311.34,152104.69,151979.51,151868.28,151801.89,151749.81,151718.07,151700.09,151687.72,151679.73,151671.93,151666.78,151663.76,151662.01,151660.61,151659.57,151658.98
SSA,F12,3.53,0.0,22101516.62,2455646.37,982346.25,615132.19,428164.16,262113.67,126761.75,70322.95,45823.72,33225.44,29162.48,24956.17,21457.97,19133.84,17583.4,16544.81,15847.56,15380.19,15380.19,15380.19,15380.19,15380.19,15380.19,15380.19,15380.19,15380.19,15380.19,15380.19,15380.19,14483.86,13454.16,1494.81,131.56,49.45,48.31,46.36,35.9,32.5,26.97,22.08,20.94,18.05,17.05,15.45,13.96,13.02,12.78,12.21,11.8,11.47,11.31,11.21,11.09,11.01,10.94,10.88,10.84,10.81,10.79,10.77,10.77,10.76,10.76,10.76,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75
SSA,F13,3.51,0.0,85602630.87,27973140.1,10376963.01,8181911.33,6822408.08,5784220.36,4902612.4,4345079.48,3916214.99,3593598.23,3345360.9,3134607.18,3001946.78,2896765.37,2871750.14,2848100.72,2825382.42,2803492.8,2762762.81,2719590.49,2719590.49,2719590.49,2719590.49,2620068.3,2521979.23,2457571.85,2416782.37,2392971.12,2381627.66,2171006.24,1874404.43,1645128.7,1196521.48,728398.86,354736.91,175373.94,112789.27,73900.96,57702.91,34907.85,29221.67,24314.38,20075.08,17037.58,15018.66,13140.41,12205.51,11712.11,11174.2,10595.86,10182.89,9856.33,9700.11,9542.03,9450.64,9402.61,9359.42,9311.68,9276.36,9249.17,9231.19,9221.52,9212.95,9208.19,9204.92,9203.25,9201.78,9201.25,9200.49,9199.65,9199.39,9199.18,9199.02,9198.89
PSO,F5,2.16,270075135.5,121602308.99,44102361.4,11020792.26,4029879.02,2709279.44,2393096.97,1685792.54,1281544.38,1281544.38,1200831.74,1135702.8,1112353.82,776272.62,707728.68,585589.98,438810.65,392206.55,378872.38,300879.27,282030.9,267478.36,267478.36,249916.93,226940.59,182509.67,166215.55,164817.28,158684.63,131797.36,131797.36,131797.36,114120.4,104588.66,104588.66,92889.13,91593.36,79560.88,67849.81,54881.9,47385.14,47049.89,39203.55,39203.55,28231.44,28231.44,26975.41,26223.75,26223.75,23126.57,22656.89,22656.89,22391.01,19815.91,17326.97,17230.27,17230.27,14426.85,14045.28,13016.1,11551.48,10961.4,10126.03,9097.38,8018.77,7823.71,7573.56,7172.7,6737.92,5838.97,5580.25,5549.66,5315.8,4846.25,4447.42
PSO,F12,2.39,570299219.37,318756770.13,145416471.04,46599184.01,14031337.18,2750694.14,893376.12,96664.48,30056.33,23882.4,5927.42,826.84,471.61,471.61,413.51,223.35,103.84,81.59,55.36,30.26,28.95,25.7,25.7,22.66,21.64,19.9,18.29,17.06,16.61,15.16,15.1,15.03,14.99,13.88,13.63,13.63,12.78,12.58,12.11,11.47,11.47,11.15,10.44,10.44,10.41,9.74,9.49,9.49,9.26,9.07,7.83,7.83,7.19,6.36,6.13,6.1,6.1,6.08,6.08,6.05,6.02,5.6,5.41,5.33,5.28,5.22,5.07,5.03,4.87,4.76,4.6,4.12,4.12,4.08,3.42
PSO,F13,2.46,1248401311.79,818755864.2,438702136.57,197024227.72,71981754.71,23662830.69,6195567.01,1952249.87,1681151.41,1421742.41,970435.99,628243.82,410396.63,205848.47,138896.82,130833.21,102869.64,58684.66,50828.81,38579.54,34131.09,19131.58,16428.15,6842.07,6842.07,6842.07,5278.87,4731.19,2736.8,1767.37,1748.19,1748.19,1737.27,1100.59,1092.65,805.75,448.13,447.82,211.37,128.66,121.34,86.34,86.34,72.71,40.17,39.19,36.44,34.18,32.29,31.02,30.14,30.14,29.27,27.12,25.54,23.69,20.81,20.1,18.85,16.69,15.55,15.3,14.86,13.87,12.82,11.38,10.7,10.42,10.25,8.04,7.98,7.98,7.1,6.57,6.22
GWO,F5,2.27,270075135.5,200105477.56,153538839.92,96004632.14,36338074.44,27386841.03,13153958.18,10199674.49,5370041.87,4440978.02,3063051.44,1376723.34,1025690.79,685433.45,374326.12,160935.35,109060.51,75894.75,45442.49,21665.83,17488.6,11495.5,8084.56,6018.73,3886.77,2581.39,2084.98,1489.41,1062.01,821.31,748.97,615.12,482.53,420.0,390.62,317.44,272.85,242.6,216.18,180.9,166.31,153.06,137.06,124.86,113.81,105.73,99.26,93.05,84.71,80.51,72.24,69.97,66.67,63.99,61.9,59.68,57.33,55.93,54.28,52.76,51.57,50.15,49.38,48.54,47.81,47.06,46.51,45.98,45.27,44.78,44.62,44.28,44.1,44.0,43.88
GWO,F12,2.5,570299219.37,538525698.67,309614992.46,226191517.92,165637551.29,74747357.84,49252306.92,13633892.81,5068810.87,3947518.2,833890.77,334372.15,144509.23,58456.25,5053.6,65.44,21.41,16.42,15.24,13.93,12.65,10.02,8.28,7.36,5.28,4.95,4.86,4.78,4.49,4.05,3.85,2.96,2.83,2.56,2.47,2.39,2.21,1.94,1.78,1.78,1.72,1.62,1.6,1.52,1.52,1.48,1.46,1.38,1.36,1.3,1.27,1.26,1.26,1.23,1.18,1.17,1.15,1.14,1.13,1.12,1.09,1.08,1.08,1.07,1.06,1.05,1.05,1.04,1.04,1.04,1.03,1.02,1.02,1.02,1.02
GWO,F13,2.56,1248401311.79,824209479.62,742899663.52,308185323.92,295450613.57,125363657.2,58101375.25,31830748.61,18572690.33,10215160.85,5335681.13,4243068.99,1528995.49,462246.72,134593.16,34465.16,6342.13,2073.9,613.46,73.31,69.33,33.57,31.0,20.91,16.9,13.74,9.44,8.61,6.69,6.15,5.65,4.67,4.45,3.89,3.66,3.55,3.38,3.26,3.12,3.03,2.98,2.93,2.85,2.81,2.77,2.77,2.77,2.77,2.76,2.7,2.69,2.61,2.61,2.61,2.61,2.61,2.59,2.58,2.57,2.56,2.55,2.47,2.45,2.43,2.43,2.41,2.4,2.38,2.38,2.36,2.34,2.34,2.33,2.31,2.31
