Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50,Iter51,Iter52,Iter53,Iter54,Iter55,Iter56,Iter57,Iter58,Iter59,Iter60,Iter61,Iter62,Iter63,Iter64,Iter65,Iter66,Iter67,Iter68,Iter69,Iter70,Iter71,Iter72,Iter73,Iter74,Iter75,Iter76,Iter77,Iter78,Iter79,Iter80,Iter81,Iter82,Iter83,Iter84,Iter85,Iter86,Iter87,Iter88,Iter89,Iter90,Iter91,Iter92,Iter93,Iter94,Iter95,Iter96,Iter97,Iter98,Iter99,Iter100
CMAES,F5,0.81,419044910.7,406359307.45,398728493.49,374652638.8,354429919.28,335880745.56,319753903.34,292393536.56,261189041.48,241244724.51,212629413.35,165481948.37,129681943.16,106608365.71,81069646.5,64833466.94,59674120.99,55150797.63,50436004.81,64204477.56,59883577.07,62472360.58,60606015.35,63455893.86,77602467.17,51789381.05,67411060.97,46981401.03,32795681.52,33351266.1,15343988.14,25040458.07,21416244.0,14991513.18,17275393.33,12728490.09,8518095.58,6033969.2,7057022.94,4149144.3,5644789.82,3682829.1,1498318.6,3069116.86,2324982.1,1707286.2,1227048.14,884454.92,1018497.48,485291.72,632384.68,559384.24,426990.24,307259.11,304690.29,344079.36,247514.96,212859.27,228390.92,190304.51,94077.63,86447.09,90942.81,71726.09,70260.45,69021.61,55499.45,37543.09,33405.42,34393.8,29626.04,22166.57,19284.22,22803.95,19892.62,10449.61,11908.19,8997.92,8673.36,6491.08,6313.87,4716.84,3672.87,3850.92,4001.38,3779.76,3279.48,3089.53,3475.66,2737.39,1832.06,1898.89,1904.4,1744.46,1458.97,1486.26,1185.12,1229.43,1030.39,864.59
CMAES,F12,1.08,1088274074.88,1064047834.57,1032801792.59,1007899536.13,967890293.14,920087967.95,878877767.51,820671087.08,752803126.64,703299839.66,612130285.86,571756285.61,497274943.3,419574441.19,378402263.87,287755125.39,223072830.43,170981105.45,162258527.01,123662379.55,76637097.18,72234104.32,53748428.28,97920857.41,59266720.71,108385454.77,66828099.89,67419744.41,55610206.72,42843596.64,59611142.96,52335374.58,13282275.33,28471729.56,3705306.14,11375402.44,5930214.97,6584411.88,3056208.73,4796472.71,4623927.84,1957705.41,2312577.08,568416.59,141702.94,196814.27,145319.16,80873.97,5386.78,1689.08,1711.88,5164.5,122.31,287.75,22.91,24.75,124.79,19.5,16.68,15.05,11.8,12.24,9.53,8.05,8.73,6.92,5.81,8.74,7.35,7.68,7.43,7.99,4.99,4.02,5.44,4.9,3.3,4.18,3.92,3.5,2.99,2.7,2.23,2.03,2.09,1.82,1.93,1.61,1.62,1.36,1.42,0.88,1.01,0.89,0.74,0.69,0.67,0.45,0.67,0.52
CMAES,F13,1.16,1425967378.33,1384689842.78,1347089714.81,1329025867.71,1274765937.91,1236027031.92,1167509681.72,1123387366.49,1008349822.32,971281045.5,870566734.17,822119918.83,702562292.12,585620743.94,428077340.33,378338060.21,269806409.16,236703438.47,107720656.41,126854361.56,89186867.24,78907943.47,99464572.81,92384793.17,113130096.41,77066927.42,82416021.37,153759314.58,123516387.57,57554902.73,88947719.33,110465849.03,65618833.91,62505227.52,27853031.11,20350198.6,29411951.68,23575621.46,11115515.55,9246526.39,4424365.72,3358666.69,3021105.34,1353020.79,753805.43,1107796.52,477925.38,635118.5,521091.58,813772.69,178275.27,358155.67,91192.76,35544.18,26806.11,32098.6,6530.63,4244.98,389.2,4668.0,2286.97,1140.02,696.99,71.96,52.29,30.39,38.66,25.34,30.18,23.9,16.7,18.55,18.2,13.22,12.53,13.35,12.53,10.42,10.13,8.07,8.0,6.53,6.05,4.64,4.91,5.04,4.1,3.44,3.34,3.02,2.69,2.42,2.29,1.78,1.88,1.82,1.43,1.14,1.37,0.86
SSA,F5,4.08,0.0,20432694.36,5517851.15,2710020.18,2014772.71,1637381.82,1359545.51,1161761.46,1143079.93,1126508.76,1108734.94,1084373.59,1060182.3,1039845.44,1039845.44,1039845.44,1039845.44,1039845.44,1039845.44,1039845.44,1039845.44,1039845.44,1039845.44,1039845.44,1039845.44,1039845.44,1039845.44,1039845.44,1039845.44,1039845.44,1039845.44,1039845.44,1039845.44,1039845.44,1039845.44,1039845.44,1039845.44,1039845.44,1039845.44,1039845.44,1033346.23,856296.16,770217.31,708422.29,587305.42,460367.15,350375.3,273589.79,246460.24,182418.01,131705.08,100344.7,82533.12,69385.7,60982.82,52934.86,46438.28,40217.58,36873.05,34992.02,32670.13,30933.82,29586.36,28575.63,27555.19,26771.7,26104.61,25600.79,25159.87,24626.34,24464.41,24214.99,23998.45,23873.11,23763.01,23660.35,23567.13,23520.86,23478.19,23454.58,23425.27,23411.35,23403.07,23392.41,23379.78,23374.98,23372.86,23369.98,23367.43,23365.17,23363.61,23362.7,23361.83,23360.97,23360.49,23360.14,23359.89,23359.63,23359.49,23359.42
SSA,F12,4.53,0.0,27995343.87,4516597.95,1817842.91,1031459.18,712689.59,501000.38,309627.85,209636.97,160883.22,134122.94,123787.43,117151.92,112751.11,109888.92,108168.26,107358.79,107308.77,107308.77,107308.77,107308.77,107308.77,107308.77,107308.77,107308.77,107308.77,107308.77,107308.77,107308.77,107308.77,107308.77,107308.77,107308.77,107308.77,107308.77,107308.77,107308.77,107308.77,98405.49,98405.49,58898.86,57154.5,38240.18,17031.9,14052.4,10503.04,2586.44,660.26,267.71,134.64,60.74,47.07,41.85,40.18,36.82,32.35,30.01,28.61,25.98,25.17,23.39,22.82,22.3,21.86,21.24,20.7,20.15,19.88,19.61,19.41,19.3,19.18,19.08,19.01,18.96,18.91,18.87,18.84,18.82,18.79,18.77,18.75,18.75,18.74,18.73,18.73,18.72,18.72,18.72,18.72,18.72,18.72,18.72,18.72,18.71,18.71,18.71,18.71,18.71,18.71
SSA,F13,4.6,0.0,77289646.54,13229551.21,10426965.99,7121784.53,5526411.8,4417771.97,3781254.55,3486784.64,3369955.51,3363344.08,3363344.08,3363344.08,3363344.08,3363344.08,3363344.08,3363344.08,3363344.08,3363344.08,3363344.08,3363344.08,3363344.08,3363344.08,3363344.08,3363344.08,3363344.08,3363344.08,3363344.08,3363344.08,3363344.08,3363344.08,3363344.08,3363344.08,3363344.08,3363344.08,3363344.08,3363344.08,2544898.01,1844010.33,1844010.33,1408813.09,1408813.09,1212324.71,585634.71,568773.85,440528.05,212732.65,151201.66,111300.8,68629.44,52309.31,37047.53,22176.84,13967.99,6749.32,2830.04,1856.87,1260.19,858.56,581.94,472.66,357.6,272.79,251.98,226.71,219.22,191.96,174.1,161.22,154.34,147.13,138.94,133.03,129.65,127.5,124.86,123.83,123.02,121.96,121.19,120.55,120.08,119.75,119.44,119.23,119.08,118.97,118.88,118.8,118.75,118.69,118.67,118.65,118.64,118.63,118.62,118.61,118.61,118.6,118.6
PSO,F5,2.84,263981457.24,140311332.24,54546521.89,15844767.9,5914899.84,5037785.53,4994090.56,4216484.82,3220501.53,2532358.89,2051344.36,1636743.24,1636743.24,1435241.75,1388737.4,997167.59,948490.89,948490.89,705354.85,658986.03,524589.53,505420.72,403097.43,361440.36,304276.73,304276.73,296396.77,296396.77,287235.25,212310.32,209107.47,188269.55,167300.28,134593.1,134593.1,134593.1,134593.1,125042.58,115366.52,110736.74,110736.74,103261.5,74175.55,74175.55,60700.69,57412.55,47124.64,47124.64,47124.64,47124.64,44200.91,40628.18,37311.59,36209.66,34470.07,34470.07,34470.07,33684.99,33039.93,32233.5,32233.5,26617.08,24192.18,24192.18,19105.37,19105.37,17134.32,17134.32,17134.32,17134.32,16478.44,14607.56,14488.92,12376.43,12376.43,12349.7,10925.42,10925.42,9909.69,9520.75,9520.75,7683.8,7210.85,7143.67,6756.3,6559.14,6456.89,5454.79,5108.22,4956.27,4409.78,3692.31,3377.88,3057.13,2942.68,2658.59,2542.65,2169.17,2169.17,2143.79
PSO,F12,3.12,671610049.36,340028659.32,144520972.47,51777395.26,16486892.05,2757939.64,795528.9,559214.7,126619.94,104207.39,104207.39,31500.86,31500.65,9296.0,7446.86,107.55,18.51,15.79,15.79,15.79,15.79,15.79,15.79,14.64,14.64,14.64,14.64,14.64,11.44,11.44,11.44,11.44,11.44,11.02,11.02,11.02,10.69,10.0,9.68,8.56,8.56,7.31,7.31,7.31,7.31,7.31,6.93,6.93,6.3,6.3,5.72,5.72,5.58,5.58,5.42,5.1,5.1,5.1,4.47,4.47,3.95,3.95,3.39,3.34,3.27,2.9,2.72,2.72,2.57,2.48,2.45,2.35,2.04,1.97,1.89,1.78,1.78,1.57,1.55,1.54,1.47,1.47,1.34,1.28,1.21,0.9,0.9,0.9,0.88,0.75,0.73,0.67,0.67,0.63,0.61,0.56,0.51,0.5,0.46,0.43
PSO,F13,3.22,976999682.49,710748823.48,351128916.6,145058142.13,60378854.37,22973843.28,5236216.08,3990520.95,1900180.4,1421291.55,1140632.66,1093701.44,936956.82,645044.02,598391.19,497256.07,381171.19,381171.19,334109.28,334109.28,150659.87,150044.81,120123.18,74409.58,65663.06,64527.62,34759.27,34735.86,34730.14,19607.59,19604.84,9255.24,5303.56,3778.61,3778.61,1593.83,1592.7,1592.43,1235.97,259.44,258.34,67.24,67.01,67.01,48.14,48.14,35.57,33.5,33.5,31.35,31.35,31.0,30.38,27.62,22.42,22.42,21.3,21.3,19.19,18.2,17.26,17.26,14.9,14.9,14.13,14.06,14.06,13.14,12.41,12.31,12.27,10.69,9.85,9.53,9.53,8.24,8.23,8.17,8.17,7.74,7.58,7.58,7.4,6.36,6.36,5.79,5.51,4.94,4.94,4.9,4.7,4.58,3.98,3.56,3.54,3.41,3.02,2.71,2.7,2.7
GWO,F5,3.03,263981457.24,142991433.39,109567725.29,87757226.82,60099554.43,34788080.27,12863073.8,10005107.37,5643985.14,2853394.37,2609654.37,1445706.08,371651.3,345586.96,234934.17,169434.95,84643.85,48728.12,33385.49,23613.7,16900.06,10218.48,5933.16,4028.47,2932.22,2813.29,1950.55,1626.94,1305.51,1085.42,1024.59,784.46,731.28,694.9,467.17,408.84,316.04,263.7,215.43,206.6,186.71,169.81,147.88,131.39,120.88,106.82,100.95,91.71,81.93,77.52,67.69,62.02,55.21,51.23,47.4,44.45,43.08,40.34,39.41,38.0,36.41,35.76,34.68,34.16,33.46,33.13,32.42,32.09,31.7,31.33,30.99,30.78,30.57,30.37,30.29,30.16,30.05,29.87,29.75,29.71,29.61,29.55,29.48,29.42,29.37,29.33,29.3,29.26,29.2,29.18,29.16,29.12,29.1,29.08,29.06,29.04,29.03,29.01,29.0,29.0
