Optimizer,objfname,ExecutionTime,Individual,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50,Iter51,Iter52,Iter53,Iter54,Iter55,Iter56,Iter57,Iter58,Iter59,Iter60,Iter61,Iter62,Iter63,Iter64,Iter65,Iter66,Iter67,Iter68,Iter69,Iter70,Iter71,Iter72,Iter73,Iter74,Iter75,Iter76,Iter77,Iter78,Iter79,Iter80,Iter81,Iter82,Iter83,Iter84,Iter85,Iter86,Iter87,Iter88,Iter89,Iter90,Iter91,Iter92,Iter93,Iter94,Iter95,Iter96,Iter97,Iter98,Iter99,Iter100
CMAES,F5,0.8214209079742432,"[ 0.30584702 -0.11573449 -0.19518058 -0.31905455 -0.28874621  0.50507956
  0.156015    0.00548676 -0.15672923 -0.3019398   0.89517395  0.57428533
  0.47631004  0.15170949  0.44547437  0.42881112 -0.36815052  0.51967171
  0.62535842  0.57697413  0.25450005 -0.32448102 -0.0684214  -0.61783677
  0.08141775  0.03899472 -0.3449785   0.33877675 -2.26389512  5.24086448]",510332114.2660939,491788734.40670925,483257509.0908979,452066655.25051576,423153259.9732436,398425746.64632136,381773155.6831076,355851936.3950445,316040893.0381658,298045407.02497196,267540130.63396978,203073521.4606598,157118508.83764198,132600764.30845371,107876725.13434836,81494797.51275235,84376039.4488364,67556032.19316533,56641187.450467005,69289746.4738946,75129604.13957883,72648828.28022075,65225927.65543094,79749399.41149755,86500807.07565998,58711148.16113056,63775037.868964136,45471311.57040636,35641101.66035724,40938506.32684479,16805225.286993384,33256270.27999145,22070831.597824793,11722739.644395186,20831705.34791854,17847686.137339465,7712112.360284932,8420978.176298296,8547002.349799307,4755888.286637224,6340938.663098243,3818486.8301027752,1118911.2405125427,1581895.271793013,929520.9911736039,1114008.9913849987,1339578.1405326573,559789.1637519294,739223.691579429,310770.1283928556,637229.5428651884,493282.6776380848,355114.2582917911,301803.9624569971,251151.73377798114,281271.05897346453,172596.3962844943,202864.47396750993,273567.99023607536,192181.89379951183,56076.72636302206,68636.8453706387,67961.04173198449,35543.67305524933,61178.195189288715,35331.43140854095,28022.209795389652,21666.037034614637,20383.866107424285,28370.20130859307,18714.12679954339,11613.190782523276,11687.168627824889,9164.460241060646,10431.779443637939,6491.9299275798,8098.098058706831,5977.664509097107,3951.2219698341655,4069.5338122823473,4873.207335830578,3597.6543118138784,3968.825633618572,3183.5829738447405,3012.465333174676,2727.176387957978,2535.732851145759,2288.7397168268676,2409.8160919984,2151.495954375022,1533.9980891176003,1593.1233140687098,1925.087557173441,1677.2467250565792,1228.5583065891756,1580.4913337420558,958.072351287001,1220.0033936783118,1116.0065587139986,912.7793237068695
CMAES,F5,0.8070995807647705,"[-1.17747351  0.37049182 -0.40155082  0.18227803  0.03670468 -0.12502426
  0.29621634 -0.48107715 -0.4990844  -0.56404382  0.6586397  -0.17156916
  0.09669648  0.31650786  0.92200638  0.27489266 -0.04809386  0.09175058
  0.99188611  1.05774675  0.70442346  0.18709461 -0.45839809  0.14525966
 -0.23489643  0.49996304  1.44426685  1.94258545  3.74125585 14.22629028]",327757707.1309998,320929880.4909455,314199477.88339984,297238622.34317654,285706578.595795,273335744.46832126,257734650.98787355,228935136.7239726,206337189.9294613,184444041.99292058,157718696.0637199,127890375.28197336,102245377.48887786,80615967.10291612,54262567.86769544,48172136.37549998,34972202.5287345,42745563.07256933,44230822.17391393,59119208.64602612,44637550.00577119,52295892.8733804,55986103.0533519,47162388.30653228,68704127.2642391,44867613.92939702,71047084.07954516,48491490.49661848,29950261.378794618,25764025.87066355,13882750.991500702,16824645.86529804,20761656.410560325,18260286.718910165,13719081.321168844,7609294.038301842,9324078.803067336,3646960.2165906588,5567043.529102756,3542400.307311837,4948640.981544575,3547171.3768680543,1877725.9619476504,4556338.441146095,3720443.1988902907,2300563.4045588137,1114518.1415575636,1209120.6858563481,1297771.2726747852,659813.3154518886,627539.8112086407,625485.8114455037,498866.2259042642,312714.2480246867,358228.8381373148,406887.6685166407,322433.52523410774,222854.0735907165,183213.84002740993,188427.1235160579,132078.53531059262,104257.32464618314,113924.57751120659,107908.49897207967,79342.7007479849,102711.79560831838,82976.68401617116,53420.146734037924,46426.97326792223,40417.39550167753,40537.955713038464,32719.944539173513,26881.265568506857,36443.43310466147,29353.46124241721,14407.292825672197,15718.285277616778,12018.175243944246,13395.502521550447,8912.622508696686,7754.533833256429,5836.024189782431,3376.915798062618,4518.250249199592,4990.298064439616,4832.336256398324,4023.230324328605,3890.3197051351053,4541.508177522139,3323.2795693407743,2130.115619254468,2204.664110174971,1883.7218861738133,1811.6792229683774,1689.3806211215897,1392.0230461405256,1412.161790322806,1238.8641138563523,944.7774974353456,816.3960010692772
CMAES,F12,1.0759284496307373,"[-1.00854276 -0.88231327 -2.23477499 -1.9665328  -0.00978442 -1.54577712
 -1.72270145 -0.58460104 -1.79078228 -1.42664179 -1.07966946  0.02223655
 -0.79208827  0.31355725 -1.33938796 -2.92740975 -0.97452698 -1.03705565
 -0.51952119 -1.71578284 -2.15106882  0.95469243 -1.73055432 -0.68106568
 -1.23704054 -0.61277872 -0.13531604 -1.01664469 -1.87735967 -1.34719294]",870203369.1357107,838942617.1689625,821380528.3676314,796558633.8370808,765911408.0519353,726419610.7452407,698783864.8989236,662850876.6382259,603922199.3042432,567790576.7041506,466503221.1448569,415206661.3521228,392815537.501194,327111909.4971435,268028825.17934817,235040472.44986314,166944896.56509268,83903308.90265162,95250314.97239928,90623941.50444846,32078772.31356143,21591502.8743115,53390290.84236614,107180145.8080803,51995601.064204656,104778686.66999526,82863171.96529254,114585512.59796639,90862241.63542546,8674686.827173352,42401427.735106684,40973893.48017593,2298362.1327453433,23697822.824536763,4536777.440145167,9110768.7714448,4030063.0893100686,2085146.1665036094,3216380.061168811,2036700.670850479,1047029.6386041071,417880.6661766695,562070.4236039402,53336.03628464281,23077.522555019765,9672.372691131963,2994.3572379799293,13961.244851570991,964.8757854134292,634.7703065502802,469.7797094954727,10291.207883050507,14.577574648511037,403.11168738569444,21.177001067110677,32.0961294471485,229.67357135803354,27.46383637131309,21.003376806566283,17.468890964992912,14.45660238304394,18.35397157200083,12.222460732556314,8.409905986676096,10.180293123179158,8.288883685976794,6.760885160418508,10.372064332155663,8.92796084617674,9.583273590017129,9.48077967439705,10.088992897719589,6.483624068183088,3.9309493713267765,6.92176674822468,6.095572809101763,3.4660931620516364,4.648273014020072,5.134535765068158,3.7029608663347116,3.126149898166866,2.9499545813777073,2.234334240418743,1.9869384374144052,1.9832298308665848,1.858945577200303,1.980296453552986,1.6108947985001565,2.426996266624581,1.9884993026861457,2.085619221972448,1.1515187897846757,1.3826901275999064,1.2111621497834022,0.8498481060044774,0.9948730781865303,0.8687037056861373,0.4543649287207475,0.7052072310290836,0.5454359380009399
CMAES,F12,1.088407278060913,"[-0.99954754 -0.55825335 -2.04315694 -0.39459469 -2.29939422 -0.79718803
 -0.74894556 -1.54263192 -0.62970854  0.10715139  0.66230243 -1.07653635
 -1.10615109 -0.81201925 -1.1911604  -2.35115523 -0.73193715 -0.71469124
 -0.70657672 -0.74513723 -1.18699115 -0.21503986 -1.65877155 -1.01376885
 -2.2471026  -0.54676864 -0.23926429 -1.78994859 -1.74214503  2.81328817]",1306344780.6243436,1289153051.9805593,1244223056.8137152,1219240438.4227755,1169869178.2373574,1113756325.1632292,1058971670.1216406,978491297.51369,901684053.9854009,838809102.618586,757757350.5684752,728305909.8650707,601734349.0951052,512036972.8868393,488775702.55617875,340469778.3367125,279200764.2887075,258058902.00718197,229266739.0547283,156700817.59512952,121195422.0516256,122876705.77469255,54106565.721096195,88661569.01330014,66537840.35787213,111992222.87913662,50793027.805321224,20253976.223782398,20358171.798216704,77012506.46132809,76820858.18394618,63696855.67382567,24266188.522753544,33245636.297154672,2873834.846705676,13640036.10020933,7830366.852178112,11083677.603182502,2896037.400561529,7556244.741562698,8200826.043834166,3497530.1438830444,4063083.7323791813,1083497.1389581508,260328.35533922978,383956.17160161916,287643.961908761,147786.69500558678,9808.688781220939,2743.383116112626,2953.9849497119367,37.79963697004905,230.05226733142408,172.38068584854392,24.642418051973586,17.411322437262957,19.90997390640036,11.530338709520857,12.357949359861076,12.630743405751216,9.148063293742132,6.135315637175119,6.828880382035239,7.690705609107835,7.275381778842519,5.545957229962194,4.866309839457794,7.105543901071548,5.772390915026576,5.780574333359116,5.380729043839981,5.896345339950324,3.494498697904404,4.100416165399749,3.9520550718835303,3.6946146339391235,3.12967207504424,3.7046206197170246,2.696592033360128,3.2938884498055447,2.857169272589467,2.4449949795148744,2.216359162320292,2.071783879486903,2.193845353203419,1.7732482753780106,1.8763169896544019,1.6090626822836336,0.817280976528373,0.7315951672941556,0.7473262786727706,0.6174487448038156,0.640831148493589,0.5604797666023104,0.6265019858003994,0.3773557267271798,0.4668504743086877,0.44390023957338354,0.6420228252348525,0.49207351021350454
CMAES,F13,1.1546425819396973,"[1.43866789 0.42636757 0.80527345 0.97057405 1.99879672 1.05514394
 1.19002369 0.69955503 1.51078344 1.2560326  0.65233122 1.4185099
 1.32539571 1.09118003 0.83161627 1.00864792 0.2614424  0.85365058
 1.05778712 1.25393822 1.09358926 0.76421491 0.81809148 0.79621738
 1.1913378  1.0043325  1.10541904 0.61531484 1.09989096 0.6892107 ]",1458564045.007905,1419094380.8604786,1375439981.9431477,1359448176.8973396,1319194656.3837557,1258746016.9693007,1199927712.4872994,1169589995.652739,1024132882.011316,1025799415.35424,914489828.6274183,840260869.3029997,679032777.4777122,596926611.8991015,468753120.6946078,407758676.610278,240128871.72625056,284444547.01926523,122028032.14322911,172462764.8799219,134314494.0413041,96498516.22150834,105751595.39196688,95625370.94852264,81506686.90075967,85075191.29312944,117607744.86475131,99017401.66462807,77238816.14489914,35882500.347419985,95927847.80447431,66751697.115256175,29095212.10262923,33773379.80356228,8222618.049111051,11083092.451026056,11630945.913790287,5975115.71366946,4576823.6368145645,3841110.941174079,1715656.1704885478,4026919.900484084,999496.017989841,599664.3008453135,685036.4064999068,625196.5796961702,377874.0832230468,160662.3684985281,62358.968750716806,81191.52184632618,92693.28910351613,17505.70850481189,36446.1803151293,55864.40812155206,23972.177838796535,3327.833896936773,42.785393181082746,419.9313447106908,620.6002346547205,61.39717214769455,1636.9307903953465,31.470620576998883,25.165776916096732,39.826358172675256,34.256502931864915,31.338907087292764,43.54529227827356,33.098740588345095,27.578605898074684,19.542377851831187,12.579013867111527,19.295235770944615,19.464977347269286,11.835321591023726,14.152073641854512,13.540682051431185,11.025282018774794,10.064951544747444,12.715887922855206,8.904698755786754,9.012203461772904,6.453973237687062,5.713146848786966,3.225134947440943,4.593841404339315,4.093920834255985,3.2933222826782114,2.523266845925664,3.256607703327501,2.363206450553927,2.2496078842025367,2.143356568248753,1.8234675826060582,1.5898382188709406,1.4867307901080506,1.2234086041645194,1.1163644727793745,0.8553044342960023,0.7630266497332672,0.6126984331029417
CMAES,F13,1.1626322269439697,"[ 1.01199889  0.70770259  0.98026885  1.71031611  1.09370669  2.21169781
  0.91635481  0.48328421 -0.20672955  0.31982311  1.14173001  1.07397377
  1.55927685  0.66275822  0.87764959  0.37097441  0.61407562  0.55654669
  1.72884391  1.05504518  1.07001075  1.47864106  0.2991737   1.67978449
  0.6397599   1.21967808  0.18818071  0.95643907  1.32333848  0.52463778]",1393370711.6496606,1350285304.7048357,1318739447.685408,1298603558.515286,1230337219.4350522,1213308046.8667917,1135091650.956935,1077184737.3200817,992566762.6209004,916762675.6461074,826643639.7026395,803978968.3665172,726091806.7542013,574314875.9794102,387401559.97436565,348917443.80892247,299483946.597535,188962329.92270085,93413280.67017204,81245958.2301582,44059240.43987446,61317370.728171214,93177550.23593085,89144215.39615443,144753505.92729935,69058663.54784708,47224297.87585318,208501227.48709732,169793958.9857782,79227305.10310027,81967590.84821706,154180000.948078,102142455.72348532,91237075.2285251,47483444.178093135,29617304.756578192,47192957.43853129,41176127.21452838,17654207.45987769,14651941.829698011,7133075.266572722,2690413.489044854,5042714.666053891,2106377.2868284546,822574.4504281977,1590396.4628426593,577976.6706318237,1109574.6235407284,979824.1978915951,1546353.8614859965,263857.2492361603,698805.6407373863,145939.34959168945,15223.957984587902,29640.03906811276,60869.373753519205,13018.476299753453,8070.037439392815,157.80574318752372,9274.594766345297,2937.0109038292853,2248.578754169942,1368.8109877149193,104.08580625680827,70.32016660883772,29.445130696554276,33.77772748037389,17.58544233930995,32.77481942962694,28.258507624465693,20.820660789060046,17.80775709415084,16.939325657865016,14.612182193106648,10.904312348169617,13.157810156633246,14.036902128850905,10.771723485408673,7.535323779308894,7.235468148907512,6.997628739452452,6.611947479193358,6.380065965524821,6.057305775226423,5.2333768595936565,5.990536353085725,4.903246481130157,4.361906404810461,3.4141919627450847,3.6813503370945213,3.12249793453406,2.7005755854511158,2.755379613079078,1.976194061032723,2.2757860575526316,2.415103887802013,1.7349072625342736,1.42756677151849,1.9685439026998919,1.1042170657340418
SSA,F5,4.110069036483765,"[ 1.66047125 -1.25927207  1.7225869   0.06034649 -2.2979132  -1.58587944
 -0.35603776 -1.79140077  1.64013291  0.54295452 -1.4974143   0.61000987
  1.77142144 -1.11961594 -1.5188502  -1.75813125 -2.11103213  0.19459395
 -2.58626294  0.849687   -0.84670241  0.45746628 -1.12593175  2.689815
  1.55109998 -2.24881509  1.98889564 -0.29596594  1.07030576 -0.47338134]",0.0,20791884.02426016,6412795.277762674,3682699.002193567,2814895.737376581,2246941.8002202455,1798515.6905025574,1479761.46943068,1479761.46943068,1479761.46943068,1479761.46943068,1479761.46943068,1479761.46943068,1479761.46943068,1479761.46943068,1479761.46943068,1479761.46943068,1479761.46943068,1479761.46943068,1479761.46943068,1479761.46943068,1479761.46943068,1479761.46943068,1479761.46943068,1479761.46943068,1479761.46943068,1479761.46943068,1479761.46943068,1479761.46943068,1479761.46943068,1479761.46943068,1479761.46943068,1479761.46943068,1479761.46943068,1479761.46943068,1479761.46943068,1479761.46943068,1479761.46943068,1479761.46943068,1479761.46943068,1466763.0387432748,1237975.007852013,1135918.0780107894,1039797.4458143695,953800.0428507223,742688.8712972134,533399.2930407755,472893.4844734928,418634.3837833186,299927.56876859086,198501.70476235714,150110.7320615053,119912.60610961911,103695.9457277765,91872.45185312002,80955.58440813344,70355.30866564873,59615.499080653215,54186.37780004862,51190.625177244125,47765.77466510157,44769.72058601344,42807.36606316321,41296.36237888735,39420.92255539376,38230.06691824998,37100.30304203045,36306.08303657193,35604.56395462743,34638.25897084232,34377.26610722219,33935.69925313161,33556.85966752514,33357.04346532307,33165.37426266146,32987.59429318834,32821.37543263124,32749.88508873873,32680.95204105903,32642.4950960154,32589.462717454673,32569.015348897476,32557.461050466285,32541.77820762667,32520.03242184642,32511.99532185309,32509.73102527233,32505.53412600836,32501.136923256774,32497.44551809512,32494.90202629643,32493.458063648348,32491.91991445783,32490.536654861975,32489.71693947291,32489.16972567255,32488.81527249044,32488.38499898479,32488.16387143384,32488.0463095993
SSA,F5,4.043051242828369,"[  0.69833702   1.35675238  -0.06463328   0.4256332   -1.56412818
   1.75138293   1.75007955  -0.37811793  -1.25386723   1.34943125
   1.03545842  -0.06052092  -1.15599559   0.29438451  -0.97519909
   0.40863288  -0.87578702   1.07554847  -0.15484305  -0.85112027
   1.516236     1.30696641   1.09333033   0.82933665   0.87873805
   0.63724406  -0.68138014   1.31449149   0.28358618 -10.05153749]",0.0,20073504.69717838,4622907.023547785,1737341.3561094943,1214649.679904244,1027821.8473398488,920575.324543332,843761.441771181,806398.384254103,773256.0467158281,737708.4089939134,688985.708324181,640603.1390409683,599929.4160916844,599929.4160916844,599929.4160916844,599929.4160916844,599929.4160916844,599929.4160916844,599929.4160916844,599929.4160916844,599929.4160916844,599929.4160916844,599929.4160916844,599929.4160916844,599929.4160916844,599929.4160916844,599929.4160916844,599929.4160916844,599929.4160916844,599929.4160916844,599929.4160916844,599929.4160916844,599929.4160916844,599929.4160916844,599929.4160916844,599929.4160916844,599929.4160916844,599929.4160916844,599929.4160916844,599929.4160916844,474617.31831492763,404516.54667325993,377047.13079408434,220810.79614046746,178045.4287252241,167351.3139765778,74286.10275981706,74286.10275981706,64908.45174048026,64908.45174048026,50578.66536784539,45153.637650672565,35075.46341037204,30093.194998244733,24914.136005965986,22521.25922060942,20819.651881142472,19559.721661089407,18793.414071282994,17574.490821129286,17097.91226423633,16365.347568797588,15854.903983101845,15689.452917831222,15313.329260857725,15108.918314767463,14895.497562231114,14715.176469435179,14614.421165926917,14551.554234184638,14494.289078772294,14440.034463595097,14389.167262085559,14360.644673066347,14333.103655317598,14312.891337473378,14291.828740291774,14275.432372670028,14266.664140837107,14261.080818801824,14253.690733648518,14248.67567971613,14243.038831177717,14239.519862246616,14237.960323541764,14235.985887763962,14234.435342096918,14233.729914539495,14232.895305859573,14232.312125063932,14231.944709116633,14231.732138502975,14231.411614236466,14231.261800097673,14231.106960922227,14230.959955659619,14230.87903479045,14230.816692219294,14230.796299696549
SSA,F12,4.5244879722595215,"[-1.75376697  1.4518042  -9.0468549  -4.86676338  1.48348257  5.68884218
 10.17174459  6.95485623 -1.04829392 -3.36530127 -9.86549287 -8.94104014
 -8.92383533 -8.7468974  -8.96937987 -9.11266198 -5.05179935  4.43213876
 -2.7745919  -5.80323419 -9.02526206  6.90233384  6.98612086  6.93683052
  6.79613174 -8.77429551 10.18021599  3.06204195  3.53277581  3.94942896]",0.0,31137025.123091646,3726105.071571271,2074468.5436148879,1525928.2396744618,931436.121686841,607937.9295123476,444971.4498119027,326577.8825233875,265661.78521157097,230945.42251121908,210274.41359917202,197003.3958702554,188201.77462001858,182477.38555090377,179036.06718050202,177417.12939467284,177317.09519182934,177317.09519182934,177317.09519182934,177317.09519182934,177317.09519182934,177317.09519182934,177317.09519182934,177317.09519182934,177317.09519182934,177317.09519182934,177317.09519182934,177317.09519182934,177317.09519182934,177317.09519182934,177317.09519182934,177317.09519182934,177317.09519182934,177317.09519182934,177317.09519182934,177317.09519182934,177317.09519182934,177317.09519182934,177317.09519182934,103802.63740996066,103802.63740996066,66915.8568014097,32912.94634107472,27925.512059243723,20826.79163879655,5106.888820411987,1255.4785148459598,477.78066041226066,211.64260919068812,63.84745667752929,48.58400574484299,43.133949792714326,40.05170439699803,36.5359788692133,34.115105699568524,32.70951218402046,30.174775285597324,25.51570119331798,25.325020417439543,22.828629132177404,21.896122199228053,21.04264723849662,20.488360560710333,20.04799979130986,19.417461868936687,18.95086228012026,18.6967445036622,18.292651175709743,18.055459777364806,17.91854937358003,17.81553028908131,17.728849089127205,17.644744864493006,17.600868725757035,17.56972967091695,17.54291338806184,17.52295809262079,17.499154912728894,17.477747338742233,17.46699986726148,17.448157324565308,17.43996206476549,17.434734936076346,17.429737893780366,17.425111259101357,17.423203076290356,17.42159738672213,17.420395683800123,17.41886340093745,17.418074924031668,17.41719068651208,17.416606822663553,17.416228823848172,17.41598030475158,17.415796128014478,17.41566604085893,17.415568712542928,17.415483500472853,17.415419493662018
SSA,F12,4.532926082611084,"[-6.90222906  7.77846466 -4.75014245 -3.98809636 -6.49655981 -4.59697155
  8.75262058 10.23515515 -8.96231389 -8.91982505 -0.94295279  9.26193592
 -1.03352339 -5.0480128   9.85374979  3.12705239 -5.21353687 -9.31464808
  3.09924131 -8.46654486  7.03212216 -4.76803852 -5.48524528  6.5561264
 -0.66741648 -2.82037079 -7.04903589 -8.87468574 -3.77319212  9.66706938]",0.0,24853662.611711748,5307090.824028071,1561217.2727485816,536990.1223686343,493943.05155966297,394062.8345568806,174284.2601844317,92696.06541908106,56104.66427208383,37300.45125842695,37300.45125842695,37300.45125842695,37300.45125842695,37300.45125842695,37300.45125842695,37300.45125842695,37300.45125842695,37300.45125842695,37300.45125842695,37300.45125842695,37300.45125842695,37300.45125842695,37300.45125842695,37300.45125842695,37300.45125842695,37300.45125842695,37300.45125842695,37300.45125842695,37300.45125842695,37300.45125842695,37300.45125842695,37300.45125842695,37300.45125842695,37300.45125842695,37300.45125842695,37300.45125842695,37300.45125842695,19493.882376887424,19493.882376887424,13995.08511785452,10506.368931703708,9564.498789389538,1150.8448396646875,179.29481795286802,179.29481795286802,65.99834809036717,65.04160180130768,57.63794643025238,57.63794643025238,57.63794643025238,45.546810073212875,40.566930793190096,40.31449285939138,37.096370022548136,30.587336262972613,27.31135863090513,27.041052846728643,26.43439304112273,25.01779386188798,23.951773862927983,23.746351066384197,23.55855400925687,23.226903023998513,22.42268239621427,21.982037271244053,21.35142347663664,21.072791284430508,20.92956959923184,20.760786629507237,20.690330105898763,20.551926731460494,20.424424823076667,20.36831480482405,20.310091420972388,20.25149157345613,20.197124300447122,20.165965169520796,20.13527514529525,20.10485254561025,20.073499617088256,20.060267133159048,20.05139685165543,20.041686688656128,20.0359040130529,20.027399559743582,20.024388196834224,20.021014168205664,20.018753149569207,20.017017163028676,20.016036544875917,20.015078708776837,20.014502788145936,20.013885130643047,20.01354671310286,20.01320861552656,20.013052673800953,20.01288473701763,20.012775636698667,20.012718205506552
