Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12
CMAES,F5,0.08,466694734.57,458696002.71,446141124.11,423567462.27,424232376.43,418162543.49,401519255.62,389682651.17,378280648.33,363266357.24,342037611.59,317468499.24
CMAES,F12,0.11,1313905670.83,1295898933.93,1269809364.66,1246153979.25,1200914971.75,1166979716.19,1162630232.95,1117711871.92,1068197439.37,1039247059.26,1005743315.95,926469770.01
CMAES,F13,0.11,2000468216.09,1962078267.65,1932287377.56,1890415118.4,1855636150.19,1817823699.83,1778421011.85,1707558875.11,1657939413.4,1585080431.87,1523893989.86,1464426569.64
SSA,F5,0.46,0.0,20434870.94,5519535.48,2710787.44,2017727.37,1643764.09,1302786.62,1132105.83,1121594.63,1119705.69,1119443.56,1118970.5
SSA,F12,0.52,0.0,27995341.92,4516553.22,1818101.76,1031896.58,349727.59,203403.25,117705.75,72379.79,45676.45,33328.47,31843.0
SSA,F13,0.52,0.0,78175264.25,10977476.12,8704182.37,5489619.11,3857498.91,2532775.24,2246021.75,2171536.4,1976785.33,1024140.39,1014769.86
PSO,F5,0.23,285596495.37,139830281.09,61316909.28,16335687.58,9471044.99,5143707.91,4797810.55,4199627.42,4144543.44,2237251.39,1566802.91,1350718.39
PSO,F12,0.25,745319761.43,401191487.57,210345177.32,80457652.03,22221022.39,4814452.77,700495.58,119350.66,34721.38,13174.9,4849.7,378.04
PSO,F13,0.26,1025811692.47,721981848.55,412044058.97,185300603.45,84597942.87,19420810.81,5260684.18,1208184.8,433059.98,342296.9,256956.14,200867.1
GWO,F5,0.24,285596495.37,223194970.4,121704687.2,72437514.04,43956350.26,33122297.57,20312570.92,13330920.3,9669301.46,6889012.29,6218679.19,5501334.08
GWO,F12,0.27,745319761.43,294528791.55,180685423.18,81921184.32,49286739.12,12348034.56,9746534.05,5158886.6,3139885.43,1965191.73,1179237.07,1012956.23
GWO,F13,0.28,1025811692.47,580819996.15,576451854.84,313114344.09,131819126.7,40080490.08,27620214.38,12066120.62,10168100.93,6072394.67,4584041.73,3844979.38
