Optimizer,objfname,ExecutionTime,Individual,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12
CMAES,F5,0.07700395584106445,"[  3.27436101  10.28263687   6.33231936   3.06735008  -3.71204926
   9.69312661  -4.29752437  19.62826231  25.20765804  -6.37357439
  15.81812253   2.67716581   5.87748084  22.15763216 -24.78203058
 -20.39359127 -23.88655877  17.24982372  13.99852812  19.86695111
  25.48642147  14.34758133  -4.25500064  18.26288704 -22.55931473
   7.18186984 -21.38930722  22.69829883   0.54001856  -2.06192744]",500625266.5438756,493299397.97800386,473044111.11586905,446061466.6949406,448736455.8187411,437455802.732009,417008122.654887,402730740.69109863,391799346.2855196,380517772.6520502,348601691.6353618,332615330.4793481
CMAES,F5,0.08713507652282715,"[-21.414782   -16.89108603 -11.86998266  23.23269376 -20.80247387
  18.6206978    1.25552373   4.83366019   2.41335331 -20.55017345
  -7.84983741  -5.53532933 -17.61563396 -16.3384954   23.89937539
   8.24138696  13.43605628   3.16071062  12.20976499  23.86998352
 -11.64528952  19.88913747 -12.26415457  -2.44897342   0.92929601
 -20.00626551  27.41133094  18.63610881 -11.52231341  -0.40375866]",432764202.5877259,424092607.4410215,419238137.09805936,401073457.8381034,399728297.0504654,398869284.2475677,386030388.5939143,376634561.6391147,364761950.3804065,346014941.8231172,335473531.55147505,302321667.99068344
CMAES,F12,0.09904599189758301,"[ 16.43841107   4.15538818 -12.82458456 -28.98564864 -14.1087157
  38.37128464 -15.6640429   16.0594775   34.25580248  38.78048615
  18.99047251  -7.95422134  29.98119043 -41.10441987 -30.08652521
 -23.3209174   12.50607387  25.52155389  23.26108203 -39.99665582
  -6.21190145   9.74537123  -2.81555264 -14.75339109 -18.77848933
 -11.00433031  13.15591183 -27.78829414  41.89482029  12.17396634]",876251458.9659454,863318268.5326577,831398214.2623683,811301520.2671113,761584953.2991436,739837897.2517027,716484468.8874075,662732687.6248161,652592221.4346045,606391107.630198,574297836.9350041,515097949.1137281
CMAES,F12,0.11181068420410156,"[ 44.89073134 -29.42881185  23.20916657  -9.74544847  26.20057827
  28.79057661  -7.83005349  -2.13053015  45.45792674 -34.67093817
 -43.3149758   14.00805467 -14.91378668  46.17670568  -2.24207184
 -40.93897435  24.41418215  29.42614087  44.76289799  -8.96115531
 -46.9707785   38.14256535 -13.63821443  -5.63663979  11.42776197
 -36.31543604 -39.79031956  24.68124631 -24.36299195  31.63651824]",1751559882.68641,1728479599.329459,1708220515.0541973,1681006438.2238874,1640244990.1923974,1594121535.1220274,1608775997.022059,1572691056.2202468,1483802657.2997866,1472103010.8942049,1437188794.9602938,1337841590.903294
CMAES,F13,0.10814619064331055,"[-43.01441732  -2.78205354  -4.42366763  -3.84917527   2.4635544
  11.89569161  13.88366426  44.83173729  23.31483363  15.29975426
 -42.75653775 -26.57043026  37.96141838 -15.56753316   7.08114254
  15.67513284  21.57790859 -35.50247866  14.21797634 -44.13665982
 -45.09872892  25.30498213  22.93617607  37.29324024  44.26730848
 -33.30782801  39.03714712  28.1516362    3.59405516 -26.01608574]",2564530359.6623297,2522002201.5898547,2502988242.02126,2445906578.869013,2400774579.9057193,2361664211.895973,2338968163.967464,2258876330.968816,2214411435.2541766,2127053015.817467,2083531583.508422,2027739060.9575925
CMAES,F13,0.1072380542755127,"[  7.23382406 -35.58243653  17.62893473  21.82160381 -36.27211384
 -32.16422575  21.28650617 -22.11557091  12.14666308  -8.25381503
  -0.8316689   38.86878443 -36.87806017  17.47229487 -23.80615577
  38.11996446  33.29212811  -3.76691947 -26.24415137   7.33861827
 -30.38740233   6.1722438   29.51016216  26.20613841  18.56820738
  -9.54720557 -21.1246789   -4.46687879  34.38038637   2.04790029]",1436406072.5158162,1402154333.7173893,1361586513.1027198,1334923657.9316244,1310497720.4705431,1273983187.7636902,1217873859.7278433,1156241419.2564893,1101467391.54045,1043107847.9125624,964256396.2196139,901114078.3241123
SSA,F5,0.45412468910217285,"[-1.4365173  -4.44459841  7.10004001 -1.8508946  -4.54959531 -3.4909394
 -7.10802465 -3.27743258  1.91518664  1.11463193  3.69549888  3.856538
  5.44530216 -4.76535237 -5.86178488 -2.30299446  0.47564657  4.09418838
 -5.62972189 -2.58245226 -3.37926147  1.27727321 -5.86440338  3.26609307
 -2.1404239  -0.63433642  3.32671551  5.6452421   0.49956834 -0.71842975]",0.0,20791841.816776067,6412483.701420197,3682593.990999723,2814874.786647233,2245367.474124112,1796738.6569144826,1477850.6371330135,1465831.524799989,1463644.4227571192,1463268.173610117,1463242.9942736311
SSA,F5,0.45603156089782715,"[ 4.2968544   4.48385896 -2.42641796  3.31949902  0.4274217  -0.39940279
  3.57058167  2.93059002 -1.45105641  1.7991928   2.36762225 -0.24186514
 -5.02673447  6.7192111  -3.72159194 -0.65207723 -4.08821012  2.47358903
 -3.68299617  2.72338375  3.54097925 -5.22650438  0.56072815  1.29278573
 -5.59671816  2.50938202 -1.22373642  5.44942501  4.57492462 -4.33992067]",0.0,20077900.07117709,4626587.264440877,1738980.8920327607,1220579.9548655297,1042160.700340359,808834.5922798924,786361.0279264034,777357.7300078317,775766.952468364,775618.9436342303,774698.014546142
SSA,F12,0.5221178531646729,"[ -7.55566582  -1.55768155  11.21165637  11.61712172   3.28338292
   1.4604264   10.96952729   1.09920189  -8.09455928  -3.31981464
  -8.40055318   8.35343459 -10.58480215  12.78017575   3.91191831
  -1.60380853  -0.3318876    4.46255235 -12.39110386   3.14912542
  -7.91289133 -12.89562452   8.30060634   4.90760085  -9.40600689
   3.26801749   6.71318739  -6.71625798   1.89776563   6.75369821]",0.0,31137015.590117432,3726108.7340257703,2074606.3911016206,1526529.683600233,267283.5857520195,99261.59447670226,48407.35862591884,40362.71356059355,24715.831389855233,20306.75072021105,17340.484497052872
SSA,F12,0.513817548751831,"[  1.40433435   9.52373827  -2.03794084 -10.636892   -11.18881818
   2.33986559  -2.31616945  10.1556256   -3.64125582 -13.02012718
 -11.15218801   7.19647529  -2.41835812  -4.47214578   8.14303001
   2.19193922  -3.64283274  -3.16453881   4.00676114   6.40152227
  13.97848466  -2.16783981  -4.63738197   1.3922195   -0.22318378
   6.86454413 -13.34131166 -10.79123429  -7.70387717  -3.05873675]",0.0,24853668.24228317,5306997.699887521,1561597.1336353375,537263.4819713269,432171.6002995229,307544.90440938633,187004.14189449316,104396.85923541579,66637.06549686707,46350.18358774144,46345.516799029836
