Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50,Iter51,Iter52,Iter53,Iter54,Iter55,Iter56,Iter57,Iter58,Iter59,Iter60,Iter61,Iter62,Iter63,Iter64,Iter65,Iter66,Iter67,Iter68,Iter69,Iter70,Iter71,Iter72,Iter73,Iter74,Iter75,Iter76,Iter77,Iter78,Iter79,Iter80,Iter81,Iter82,Iter83,Iter84,Iter85,Iter86,Iter87,Iter88,Iter89,Iter90,Iter91,Iter92,Iter93,Iter94,Iter95,Iter96,Iter97,Iter98,Iter99,Iter100,Iter101,Iter102,Iter103,Iter104,Iter105,Iter106,Iter107,Iter108,Iter109,Iter110,Iter111,Iter112,Iter113,Iter114,Iter115,Iter116,Iter117,Iter118,Iter119,Iter120
CMAES,F5,0.79,463094806.13,452260356.45,440029536.58,429019483.69,416676399.5,404378047.66,388286771.26,373220948.88,354786844.79,335197341.69,311832711.66,290612542.8,266006157.96,243436779.4,219015539.33,193606113.04,166189829.46,144535236.38,121544441.33,102200479.86,82398568.44,68948135.47,60157235.33,50687734.14,42580648.99,40597380.19,35665296.41,32797596.29,33747292.07,34361849.24,32841773.4,32169039.52,29097257.22,27496050.82,24467192.11,25243192.37,21255005.78,19953724.17,15731510.54,14160520.5,11461250.49,9948311.01,8136081.04,7849346.56,5549234.79,4739946.83,3922055.93,3343094.83,2850484.01,2547510.54,2079976.11,1909483.73,1563751.59,1257253.92,1013359.81,932497.49,764990.49,677668.65,585605.18,505395.56,388013.67,354791.56,287095.05,270381.22,231835.84,187953.64,155420.27,150325.36,133448.84,107602.95,105452.95,84735.78,76224.18,65701.5,51734.42,48021.51,44529.81,37883.64,35535.31,32529.94,29825.18,25696.8,24512.08,21837.67,19117.28,18455.81,16294.33,14814.1,14065.14,12998.51,11794.19,10712.75,10159.45,9051.94,8464.7,8033.74,7715.75,6960.29,6580.63,6409.1,5827.28,5230.18,5050.36,4630.48,4321.02,4045.33,3583.01,3232.36,2809.04,2663.99,2551.25,2349.41,2147.89,1909.28,1746.28,1675.42,1597.94,1537.17,1404.45,1214.43
CMAES,F12,0.99,1163451868.21,1142729147.33,1120812546.67,1097524473.86,1072393686.33,1043142147.83,1012351600.29,978716383.31,938748568.88,903370140.69,858278544.41,812856623.27,758925093.37,708934393.08,641821365.6,583702430.71,518779448.95,455459002.93,393959198.36,332286665.0,283162871.16,236677131.68,190552166.88,154271823.18,124528798.14,94621369.52,74090388.94,60784948.33,46382880.82,42326139.81,33802596.67,28857442.73,29370233.28,22619113.52,21482883.3,19014056.06,16874583.4,17192495.07,13787740.85,14681540.62,12641205.22,9937465.4,9538537.02,6202609.17,4745863.14,4994711.98,3329086.81,1976889.05,2343395.61,1940581.34,1265886.04,1276057.9,685137.81,517225.13,226956.46,219998.06,144213.33,136100.99,79027.31,76106.68,30103.45,38068.15,20306.66,11267.23,7463.39,3553.55,9700.27,2591.57,1124.42,383.46,265.36,348.66,230.19,141.78,19.37,55.92,12.37,13.39,10.34,9.59,9.08,8.28,7.51,7.45,6.72,6.35,5.85,5.52,5.22,4.94,4.4,4.36,3.97,3.67,3.53,3.49,2.95,2.67,2.56,2.39,2.18,2.13,1.9,1.86,1.75,1.46,1.28,1.22,1.19,1.08,1.02,0.97,0.84,0.82,0.74,0.71,0.65,0.59,0.57,0.53
CMAES,F13,1.06,2204990629.93,2166499603.34,2127455801.79,2088228033.99,2046492784.69,1998115488.87,1946480012.18,1888033755.84,1828921097.69,1764900397.18,1695951787.56,1610345689.24,1523621114.97,1424712670.76,1319074243.02,1183679728.83,1075859349.94,960078631.6,845274228.89,729336702.48,625621472.04,517002449.43,423552840.0,359636564.53,292688981.95,243611280.46,203654835.24,170177858.59,150207335.18,144099039.96,121236079.0,107411675.44,112370226.21,107315533.85,99830915.38,99392036.66,93988171.82,79478749.36,75806454.95,60413032.99,54183777.62,48843071.26,40353475.33,33957475.58,28250736.09,21456519.61,17406993.61,14426119.33,10371924.2,8596706.48,7442321.83,4664351.9,3474484.26,2809812.34,2309824.99,1831064.11,1663436.15,1367442.31,931606.9,609128.61,475828.9,340735.04,307391.66,265442.57,166279.56,134377.37,89664.27,72940.48,43922.13,30208.53,20398.73,12207.23,12085.29,5753.19,3432.38,2372.66,1202.02,1419.51,992.08,509.61,441.59,540.62,170.29,98.88,96.04,37.38,25.64,21.87,16.67,15.59,14.63,12.61,12.01,11.05,10.3,9.54,8.83,7.75,7.05,6.5,6.07,5.32,5.12,4.69,4.26,4.02,3.59,3.37,3.02,2.76,2.6,2.32,2.11,1.97,1.89,1.7,1.57,1.43,1.3,1.24
SSA,F5,4.91,0.0,27325747.99,9017845.59,5887005.11,4605973.48,3930025.66,3488484.73,3164615.82,2930531.12,2758275.64,2635258.7,2547646.79,2478086.33,2428030.11,2386297.93,2352958.37,2328567.62,2318222.37,2317775.48,2317775.48,2317775.48,2317775.48,2317775.48,2317775.48,2317775.48,2314006.07,2304075.54,2294355.89,2287125.65,2280678.17,2275714.38,2271778.11,2268965.17,2266780.32,2265005.34,2233196.19,2228944.29,2225175.1,2208905.97,2206670.85,2194561.56,2149901.11,2117667.07,2067304.69,2000828.25,1902407.33,1765483.52,1586339.48,1355799.19,1196186.75,1009313.55,851290.89,706468.17,566863.7,453523.15,358319.28,275298.44,218442.16,177134.13,140074.61,110752.45,87814.58,71244.43,58561.84,49233.22,40957.03,34259.21,29373.71,25736.87,22760.6,20363.28,18390.54,16776.74,15424.31,14364.49,13583.88,12947.03,12436.86,11993.6,11630.44,11302.21,11055.11,10853.29,10680.28,10542.97,10428.69,10338.86,10256.76,10193.59,10143.09,10103.17,10067.86,10039.11,10015.89,9998.42,9984.36,9971.81,9961.46,9953.89,9947.61,9942.31,9938.42,9935.34,9932.77,9930.61,9929.01,9927.64,9926.66,9925.87,9925.23,9924.74,9924.35,9924.05,9923.83,9923.64,9923.49,9923.39,9923.3,9923.24,9923.19
SSA,F12,5.48,0.0,22627099.06,3023833.34,1027251.9,593074.58,391064.97,282247.76,211088.79,176762.96,158448.84,142005.38,130308.36,119778.02,104675.39,94413.17,85567.16,79278.99,74182.52,71672.26,70017.58,69106.05,68726.99,68647.71,68420.06,68333.33,68333.33,68333.33,68333.33,68333.33,68333.33,68333.33,68313.04,68313.04,68313.04,68313.04,66228.67,66048.7,65539.28,63259.14,62731.52,61871.15,55866.2,51541.12,49498.01,44659.6,39949.39,35311.26,30552.42,23164.8,16064.8,13006.92,9378.23,4980.81,2766.64,1295.83,1082.4,857.8,665.02,561.02,390.27,172.92,65.37,44.96,25.1,22.77,21.12,19.81,18.57,17.27,16.33,15.38,14.67,13.91,13.32,12.78,12.36,12.0,11.66,11.34,11.11,10.92,10.76,10.64,10.52,10.43,10.36,10.3,10.24,10.2,10.16,10.14,10.11,10.09,10.08,10.06,10.05,10.04,10.04,10.03,10.03,10.02,10.02,10.02,10.02,10.01,10.01,10.01,10.01,10.01,10.01,10.01,10.01,10.01,10.01,10.01,10.01,10.01,10.01,10.01,10.01
SSA,F13,5.43,0.0,86867059.45,19510567.43,10024760.8,6549636.32,5068393.03,4198674.86,3639752.57,3222204.16,2918711.1,2666966.55,2463682.4,2330274.18,2234542.77,2157784.14,2111548.21,2086670.47,2066324.24,2054708.59,2051365.21,2051365.21,2051365.21,2051365.21,2051365.21,2051365.21,2051365.21,2051365.21,2051365.21,2051365.21,2051365.21,2023834.14,2011040.58,2005122.08,2002400.34,2000499.87,1997742.8,1997136.74,1993573.47,1985365.92,1960226.48,1892749.39,1886696.26,1824125.3,1791987.96,1642042.06,1526438.29,1450723.1,1216159.93,1072031.2,850444.24,661883.35,503632.49,394224.27,288293.49,213066.79,147887.01,102108.29,72906.54,45942.0,32475.58,21908.75,14511.61,9473.64,6149.32,4127.12,2593.22,1935.87,1510.79,1140.82,787.07,590.73,442.55,364.31,308.11,268.52,234.9,213.75,192.53,174.89,162.15,154.88,147.5,139.45,133.07,128.12,123.59,120.77,118.37,116.22,114.61,113.24,112.06,111.05,110.43,109.86,109.42,109.01,108.7,108.4,108.21,108.08,107.95,107.85,107.75,107.69,107.64,107.6,107.57,107.54,107.53,107.51,107.5,107.49,107.48,107.47,107.47,107.47,107.47,107.46,107.46
PSO,F5,2.29,280829792.63,138595443.36,55497600.16,18678132.54,10198256.03,7673393.78,6472530.62,5083998.84,4195199.01,3653467.75,3075556.14,2678193.47,2328640.97,2015841.61,1831244.26,1654751.77,1468262.25,1311315.73,1141864.27,1041928.97,929407.83,836792.17,736502.12,695109.78,639664.53,572482.74,525904.86,494249.27,456151.99,413270.79,361008.69,340144.23,318008.06,285950.77,259535.27,241659.55,234217.53,219243.47,195081.99,182460.63,171483.36,158175.93,152279.09,146584.41,136558.68,128800.64,119384.39,108760.76,103767.25,97823.81,90514.54,85527.48,80264.19,73285.99,71049.39,66002.3,62618.82,58957.47,55748.08,52511.39,48599.17,45867.45,44138.39,42706.22,39734.75,38236.8,37151.87,34525.3,32926.34,31390.0,29787.03,27949.72,26366.95,24812.16,23977.77,23015.95,21889.87,20635.57,19643.15,18445.3,17416.14,16637.48,15944.46,15181.45,14601.37,13889.85,13333.41,12465.25,11748.13,11378.57,10852.66,10343.14,10058.11,9642.77,9069.58,8643.25,8116.64,7804.26,7578.55,7369.67,7121.02,6709.67,6387.55,6223.12,5929.74,5804.19,5582.68,5400.43,5232.1,5082.83,4940.29,4793.24,4578.88,4440.57,4315.51,4199.96,4083.32,3971.35,3860.81,3783.59
PSO,F12,2.32,611415445.18,369637220.04,164642769.9,62472740.02,18143787.1,4532552.01,1083845.5,321498.16,129236.94,72662.96,40753.01,27273.57,16758.59,11379.56,3137.01,2424.76,1481.46,919.07,516.08,300.97,205.05,170.75,161.83,135.25,133.73,128.49,102.51,101.01,50.41,49.22,28.73,27.18,24.06,22.88,19.98,18.99,18.46,17.82,17.3,16.77,16.13,15.7,15.25,14.73,14.21,13.57,13.28,12.73,12.59,12.02,11.56,11.31,11.02,10.49,10.2,9.64,9.39,9.19,8.89,8.65,8.36,8.04,7.71,7.46,7.22,7.01,6.85,6.53,6.25,6.08,5.85,5.65,5.46,5.27,4.98,4.82,4.72,4.51,4.36,4.28,4.12,3.92,3.79,3.7,3.59,3.45,3.38,3.23,3.12,3.06,2.95,2.86,2.8,2.71,2.61,2.52,2.44,2.38,2.32,2.24,2.18,2.11,2.04,1.96,1.91,1.86,1.81,1.75,1.7,1.64,1.58,1.54,1.52,1.47,1.43,1.4,1.36,1.33,1.3,1.28
PSO,F13,2.52,1182075824.8,771293805.93,395689239.31,184969458.28,71959327.45,26676275.96,10293639.51,5063546.58,2860960.26,1822228.22,1408786.19,1091986.25,893660.25,697211.5,599858.46,485317.88,398130.7,321387.11,246441.61,192170.3,167877.37,122498.27,101126.34,73674.08,60219.38,51645.95,35446.96,28068.32,24266.41,17732.64,15314.09,12561.93,9702.97,8458.88,7399.83,5913.86,5029.01,4382.19,3768.37,3118.67,2167.2,1747.42,1283.94,988.72,802.05,580.19,378.55,328.26,257.12,219.76,150.09,109.03,88.83,73.99,59.39,54.5,51.63,43.4,40.72,38.87,36.66,34.97,33.62,31.91,28.75,27.28,26.3,24.16,23.27,22.44,21.25,20.45,19.59,18.91,18.05,17.31,16.39,15.71,15.33,14.86,14.3,13.71,13.01,12.44,11.9,11.4,11.08,10.57,10.07,9.56,9.26,8.91,8.51,8.21,7.85,7.64,7.29,7.03,6.8,6.61,6.44,6.18,5.92,5.59,5.5,5.27,5.07,4.84,4.53,4.38,4.23,4.04,3.91,3.75,3.54,3.39,3.27,3.12,3.07,2.98
GWO,F5,2.44,280829792.63,207971450.87,140074494.55,94081215.11,68020512.28,44802743.21,31831087.52,22741386.43,17036647.72,11352202.35,8141115.78,5710764.03,3582318.87,2615162.99,1743328.1,1260007.29,761505.97,492766.25,344091.64,245594.58,169196.86,115634.31,83574.87,59757.2,36531.85,25317.47,17917.36,11916.07,8921.69,6095.16,4166.28,3051.06,2264.83,1644.78,1249.18,965.81,766.99,613.63,495.98,412.82,332.46,275.72,231.5,200.53,173.52,149.83,135.94,114.69,103.15,90.93,80.38,72.27,66.42,61.69,57.53,54.11,51.48,48.7,46.65,44.98,43.03,41.66,40.23,39.4,38.51,37.79,36.99,36.41,35.78,35.06,34.72,34.1,33.82,33.36,33.16,32.81,32.43,32.19,31.96,31.78,31.53,31.29,31.13,30.97,30.79,30.63,30.46,30.35,30.24,30.16,30.07,29.97,29.88,29.82,29.75,29.68,29.63,29.58,29.55,29.5,29.45,29.41,29.37,29.34,29.33,29.3,29.26,29.24,29.21,29.19,29.17,29.15,29.14,29.13,29.12,29.1,29.1,29.09,29.08,29.08
