Optimizer,objfname,ExecutionTime,Individual,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50,Iter51,Iter52,Iter53,Iter54,Iter55,Iter56,Iter57,Iter58,Iter59,Iter60,Iter61,Iter62,Iter63,Iter64,Iter65,Iter66,Iter67,Iter68,Iter69,Iter70,Iter71,Iter72,Iter73,Iter74,Iter75,Iter76,Iter77,Iter78,Iter79,Iter80,Iter81,Iter82,Iter83,Iter84,Iter85,Iter86,Iter87,Iter88,Iter89,Iter90,Iter91,Iter92,Iter93,Iter94,Iter95,Iter96,Iter97,Iter98,Iter99,Iter100,Iter101,Iter102,Iter103,Iter104,Iter105,Iter106,Iter107,Iter108,Iter109,Iter110,Iter111,Iter112,Iter113,Iter114,Iter115,Iter116,Iter117,Iter118,Iter119,Iter120
CMAES,F5,0.7771315574645996,"[ 0.50283933  0.44502977  0.66933438  0.02097279 -0.43551433  0.66389682
  0.48215515  0.6204099   0.59515302 -0.6613545  -0.91013213  1.2901683
  0.92729247  0.39581837  0.26847897 -0.35224401  0.64973969 -0.34345131
 -1.00450864  0.53654622  0.89891325 -0.79751322  0.43374865 -0.44943399
  0.44662268 -0.09353598 -0.28797039  0.66579587  0.24271079 -1.30921308]",505538292.44486517,494628819.4876615,476417225.0068003,464663578.27356005,445955083.45864266,438545352.42489463,414597787.18435997,401849732.5706102,386729570.86154366,349873906.0424703,336704241.20731306,289270691.8899879,270099679.9073015,240193881.75488696,175569722.72897977,136302877.67283183,124130497.80879575,104714846.46876271,90622574.36613137,77462926.10831898,47082078.979605414,37485430.7285854,28525974.12783276,10521170.124240331,18987627.209817693,29362773.762282994,17877200.94856206,17670221.472598378,22047124.461037368,18634220.970281865,44062777.79341399,19228507.968225192,17097730.912493467,12956905.491474183,14177013.11329544,8743131.059859727,2090824.6936933596,3991053.0267101442,6823943.3412827775,3273474.213266596,5776000.906968881,3595201.673675559,1836862.971833974,1196383.969787538,1497704.587822314,734744.1388546324,1049313.3660371157,424201.46611701476,427357.6184793468,106315.21739684859,329787.02912836947,440537.00350640214,360290.5945475532,432730.18393085315,393812.15851981856,324450.7622366145,261283.05612488033,150620.03217968286,148518.4218488942,128200.34096250696,111803.26237936044,115286.31661685131,91813.54862716913,83314.41698539717,91456.41280893126,72102.98597825953,81578.9650515178,74516.05451821504,49963.633538496055,57085.15209159782,40012.22633848402,35720.65087737962,40037.49846889246,32301.160468175516,27464.979627150424,32310.31284919109,28690.05817622418,21372.32128618418,26388.269522778468,24914.601181071346,20738.042461214867,20805.46494348981,20622.225819642666,19358.476740672017,19640.01942269009,18071.604284825065,20379.817274901932,17996.289711246307,16941.451885093746,15903.530326844248,14512.04356725175,13503.739864385945,15836.120182074059,12988.951971226488,10880.441718862447,10975.521107132048,9689.946639786825,9608.434642024564,8557.819009724059,8161.423558619452,5493.492932834882,5595.329760761455,5002.142228803262,5544.890875641228,5124.121634347864,5565.708713939778,4913.786768305397,6382.787521185732,4804.778675371227,4556.319579368224,3678.6312782197483,2675.333661275165,2405.639952064315,2847.1519364990118,1960.638948277211,2489.3268124047095,1676.5764171367287,1358.7056554535002,1434.3397204060348,1609.2637124900393
CMAES,F5,0.7499411106109619,"[ 0.06861504  0.96664228  0.69665665 -0.16844361  0.46428086  0.07113873
  0.02218599 -0.5084688  -0.00183567  0.27169049 -0.00806945 -0.0368686
 -0.15004878  0.27465914  0.32108872  0.84428428  0.64556571 -0.49240276
  0.46019852  0.28868588 -0.39905513  0.70605445  0.37103698 -0.01262152
  0.2143434   0.47663033 -0.68981122 -0.36060161  0.43828591 -1.58433529]",403099203.45383865,385933962.48977077,377518923.5494516,371987401.57738274,352455328.2167754,339730957.6614853,331930464.6259916,323885641.86037844,295925969.57773465,275605629.98333126,271503862.0152078,256244945.72706765,249324227.50605044,225083467.49811032,217770875.6759816,194833501.40713137,153567123.7123675,163275763.07441515,110903795.57027686,103411621.14256735,83440606.11023363,62493317.48294545,50050049.606847145,55148553.869580925,56984798.07161787,42375796.709910296,31116384.6893984,23012069.63274524,12687099.038524942,14086058.990839642,17310063.89717752,25075641.50036686,30863339.12439221,20050020.348060813,25369791.97040011,38621911.68745622,27740293.20423272,24853475.375674736,10344843.816945266,8063583.175909036,13534041.862492211,11091146.948944902,19577554.15744227,16345179.752678026,5947764.9506901605,6937418.822941426,7675913.221988883,4036327.9798090006,3629887.991689777,3232544.1427856185,3668421.915056535,3646509.9920449215,974633.4794843299,1402306.8431745823,1320122.2872522378,1492721.1980232925,1113480.612268341,944204.3626804398,812925.2173126152,315846.73432018555,343913.7362569537,204926.54533798047,356465.02693455113,541821.9059821557,359719.58656020474,341429.1887647262,254446.9065653525,294062.4499199437,347121.06068637886,369915.2079247861,262653.8615315034,173398.97552416587,176540.77057138697,107251.29597499008,56621.9104421252,38238.30456409751,51693.690583371994,66266.88983399428,73643.28926078447,51647.873011881864,48996.37049502681,36380.96238350919,28934.01609800679,29881.838198794685,19403.76292698089,19860.806547352382,22176.171242122284,20972.9405681804,18554.273147348886,18021.85219980851,13351.636352897014,15859.356554077784,13411.435569473188,11945.354812181464,10783.477944330005,9468.911033486289,9904.699708886883,8700.474551551248,5711.214317752043,7313.52929689091,7833.980991642661,4433.2259486011635,5645.683069877938,4278.027693315364,4791.032501175012,4466.503992203672,5910.302095412358,3838.6450256358717,3816.291553735758,3400.067996579669,1251.3727887513269,1824.866872194588,1952.025805891912,1638.0010490698573,1885.8653840382324,1057.4428793791308,945.4842442837753,1026.7823630300848,1244.6144839345861,978.0177894657977
CMAES,F5,0.7709343433380127,"[ 1.23966198e-02  2.70160571e-01 -1.90617599e-02  1.15469717e-01
 -1.43118011e-01 -4.12980835e-01 -6.79276938e-02  6.94323554e-01
 -2.68924451e-01  2.18333865e-01  6.34732108e-01  4.79632560e-01
  4.08110372e-04  1.60310564e-01  3.94460028e-01 -2.24815763e-01
 -3.36400796e-03  6.07474068e-01  1.99957820e-01  2.31967129e-01
  2.50220245e-01 -1.96339706e-01  9.15130041e-01  2.99416828e-01
  3.72174488e-01 -2.77558252e-02  8.11608455e-02 -1.53259263e-01
  3.57377917e-01 -1.57049239e-02]",514576220.5511369,502546068.44184065,485067511.82758003,480918745.1630534,455925905.5695343,448753955.06326216,426681406.38752973,412649858.9487337,395063770.1702952,378283636.8670447,340999365.3448755,326281970.4758266,305989862.87234586,269877692.31443214,262615983.0512702,250619932.17370602,206446376.6762072,175089230.27517995,151368285.70613915,125547670.54703203,114257253.77731279,97435087.44691336,84453778.3020124,53879625.320258826,53729466.18389994,33006293.58072283,25847375.61827656,21151333.517441485,15434376.282841582,35706543.91018939,33568606.281298384,19003688.2978465,27618406.056526978,22053401.879896995,21669366.78902893,20009119.628903784,22351352.198606495,17058527.01897479,4058335.315745025,11851310.733266843,6841851.045658217,7654147.107355231,10014104.49049858,7040959.556701128,5226014.169713643,5781925.474925044,5342971.724711221,2135953.10635749,3392145.694034051,1601076.691942937,1423915.2708235246,1288361.736614058,1565628.996594543,1475226.9074182862,547662.2755606333,830334.7150692057,534972.7180440567,474455.6070510191,526541.5152806672,288302.1767084139,425629.89635344374,303747.3450750758,286501.61597906286,234988.64178977822,127324.70352170907,166484.40367977135,164983.4660833106,99549.83628734801,149140.798184252,86435.37130872191,84506.98423691106,83273.38029931067,73466.12773967643,61883.91630382561,45537.11607272916,33800.58143007322,19500.02730974889,41376.93409878781,37940.56014233461,25304.09388968281,25321.02386097348,19506.887859290917,22308.639291615596,21579.89347132924,14929.097315022227,15742.07002012523,17241.572035695783,14568.72337277398,11025.658159022587,9826.687711008213,11893.26881881473,9511.805519707787,11078.85414394952,11818.91160127211,8168.147559682951,5607.632823795952,6255.335088465719,5317.3395198060425,4062.878775721706,3740.91361868235,3334.0172634794844,2821.5564524084716,3059.3189983797693,3050.5881162522815,1812.9984611663815,1601.2085337774065,1275.6409772974775,1300.1440440485237,666.4327969411012,870.784738320053,816.8591307855829,1088.919364399406,1076.033876331086,1012.5758875488812,504.2447073669772,698.3632762752119,945.6123017502634,522.7544587712825,647.7416368612843,423.6800919172324
CMAES,F5,0.7735257148742676,"[ 7.43090990e-02  3.41385847e-02  2.64599918e-01 -3.14715708e-01
  2.96625684e-02 -1.36150160e-02 -1.91830595e-02  1.93388007e-01
  2.69971128e-01  2.53866772e-01  2.42351947e-01  2.11588693e-01
  3.98263582e-01  1.71424888e-01  4.81843502e-01  2.99401739e-01
  3.28429361e-01  4.52253862e-01  1.92072835e-01 -1.48507453e-01
  1.27619883e-01  7.26482278e-02 -2.44318199e-02 -1.78300362e-03
 -1.35217528e-01 -6.02629706e-01  7.12686122e-01  1.68264203e+00
  2.56262301e+00  6.62862850e+00]",774104468.3627104,765090175.4715396,751196946.29022,725063906.104425,704801954.0727,695613499.3183208,659942486.7095783,639160312.7084898,619373283.1256438,554207425.276509,515916405.30625385,491048997.3249511,447759074.3603705,430163992.8902912,389934450.71330553,334267318.52212435,259543100.36709687,218316629.0496924,202589448.48544085,198290040.15225595,133753642.65390587,145606674.11712202,134916881.3868047,112652140.57036673,85676526.27609241,36982507.338366516,55865482.447569475,51770834.71887972,71019706.0339936,30901648.016448867,22764816.46942603,39223660.51423402,53234864.51167687,21601639.66298402,45854075.151502,36233340.30792629,36290027.560104445,31733186.393831383,16336811.124808172,16115111.378874527,11873771.2474723,12335264.412237173,3634691.2299485523,3928723.919292681,8514162.347801484,4936686.747278724,3087929.486648961,3879225.459655914,2123458.2820345243,2447940.0516269617,1660937.561807167,1782106.7176900653,1522522.3141905598,507682.3519022464,1268601.2038013292,1041974.4642205102,675388.8618165196,389167.0131435591,482252.8641582718,398106.6962619681,382536.62171940337,239355.1253836485,271715.85159603023,223306.17736302436,174336.03005998678,247560.67940144564,119846.35057947657,116239.68917963031,80559.49786767118,62737.381436095486,58949.591983499726,44163.71549706241,30424.822906858895,19872.398762794845,11437.75432157466,19420.878128072873,26604.287574603797,12884.413559413148,7689.0762236063965,8052.289238571718,9328.598720704893,11236.351128900797,11203.668322880541,9965.183944347975,7168.034076199459,4979.749257735178,4049.0380527908137,3301.5928078511897,2592.788355124591,2656.328490278153,2544.5853457414673,3031.9309143916853,1780.619543427716,1603.5453519709517,1385.9023101325529,1005.5947403919696,1675.839701406158,1335.3800160838923,855.7727139458767,1305.2682559803789,1374.693593109398,816.2123128874499,675.7169172594583,451.39235816023216,799.0419467193548,648.6169401649985,437.4131261686654,599.184644444798,675.5313920615339,603.8832699931357,488.08634414417907,525.4049622012666,503.10356517547734,374.6979497935715,433.15786446652385,363.4947213183077,326.9065660201968,355.1020044960795,333.0975562631593,319.4942353792067
CMAES,F5,0.7815444469451904,"[ 0.05186531  0.14717639  0.15840235 -0.18828025 -0.3308706  -0.09134935
  0.15195823  0.21784798  0.04722438 -0.17119772 -0.02411929  0.10799902
  0.08845783 -0.01038431  0.33038786 -0.29769657  0.18336258  0.18621571
  0.06253079 -0.05331276  0.28037897  0.01173442 -0.28441348  0.13480448
 -0.07402961 -0.05411554  0.19622033  0.1033637   0.1945705   0.21255509]",589103865.0217662,588332028.278622,576491314.0283259,564111589.8612679,553127153.5848991,529551590.19828004,519107898.3240257,514789049.1985159,498811695.76725554,473294094.83623093,431121040.07686067,428683590.76037943,382423109.55576414,372756057.60885847,339475014.56295645,308046272.302445,250553067.4010514,226800010.86349812,185484104.5192818,139891353.69675413,124714098.1606303,99111701.79099263,88999142.67774165,66400542.20541588,39784066.47908485,31045733.321778968,38746359.839773275,39260822.23921001,41577871.05739383,27042990.22641179,30564847.6960862,26996712.05981022,11855126.733826092,38578912.75340462,45863841.713442,40050737.369162254,44697748.4026046,41652102.06365242,27720551.755974248,45825559.89847687,17198785.896312438,14203358.17374214,6988722.118078099,15621838.612982418,8225837.076586092,4532847.554350322,6487490.0027952595,3233064.299992131,2431609.5718365954,3723263.00841426,2963187.291350642,1988075.3618788747,1531061.1161945437,1526649.2260730772,1625290.0809016821,984145.6133570012,1437278.6678543407,669304.9641138143,862302.208436652,724929.658017176,390630.80449981824,474217.78643421317,316624.5003622404,206285.30489100725,191886.076992622,177181.16233251494,104323.52138084183,141301.483578502,121929.89301200208,135494.4539550525,176706.82594208998,122572.70828325328,66136.90955732964,49090.486499763494,66720.46210272491,27743.61476905592,54708.21519300082,15215.303339190468,16450.53584519204,28756.173670444536,28113.968366321948,13105.173050592723,12596.334159708573,10111.99505765917,8601.56624929508,13152.471092574542,5176.611710048211,4916.981739218241,6068.834719018108,2347.9538755953067,3699.7680563641557,1874.8913572800425,2793.193786583808,1415.943214981775,1838.4300399131998,2000.7757060058277,1274.2745413202292,1480.2041448780676,620.8969936034606,428.1624184708863,897.7151772668216,697.6954133233869,674.8065248509367,561.7998873200498,521.5503070139646,423.33315413281116,455.38914021843027,402.8825365296768,315.016697341945,246.33660664417073,324.84174793837343,224.1335720471367,299.81270724186396,142.4235043236651,183.89721220363361,168.19741490397425,195.55178291732682,182.32915927430986,147.7115792671982,124.03483082540572
CMAES,F5,0.7621815204620361,"[ 4.53897620e-01  7.36908360e-01  7.16787507e-01  4.80372834e-01
  1.56598855e-01  3.53638688e-01 -3.31309512e-01  2.41026270e-01
  1.49036310e-01  4.63444465e-01  8.07798045e-02 -3.31965633e-03
 -2.76457477e-01  1.92022232e-02  3.65850556e-02  2.10194165e-01
  1.72331774e-01  2.46825393e-01  1.15037856e-02 -1.87307690e-01
 -3.87177930e-01 -1.49899253e-01  1.02563433e-01  9.56479923e-02
 -1.81194696e-01  2.11188210e-01  3.49293458e-01  7.38952350e-02
 -1.97176342e+00  4.53257563e+00]",456902870.5306509,434752322.0460761,425875892.43423724,416070995.23071533,399122759.9504161,394243682.6819044,384113115.06923014,359789179.434426,339187888.81754774,321650733.47164255,293141834.47866815,279362577.4766156,250774217.75887764,230593929.85113513,212536526.8848823,191109525.02034864,163931252.3216441,166538079.36187342,143699947.3677893,125406617.42799713,101239660.67324668,87524067.8933785,79054519.03197896,56301698.91867491,57072360.19962581,45955070.57925819,37854634.19803994,27726021.641409382,42349526.01448135,20142338.081909914,12587457.520698288,23569635.563836627,23275698.182066392,29355831.34522992,21125046.192064174,34465965.15328332,30654908.142412294,15577343.17445758,7100647.531067667,8984901.003756864,11442562.19771676,9033558.303821588,7012737.146697331,12657135.638928495,9476155.739042528,12026322.023954876,3651312.6311554713,4776262.304053554,5615900.632620197,6202534.935548207,4079017.0994537272,1784588.4406679089,2194187.7181168036,4787390.064038099,2903532.0598474317,1052810.345819233,1454809.5517738014,1290798.5888760446,824991.5626931561,1148643.3218250158,559843.9763703292,259941.63188079756,373345.9768397212,334615.33119703917,317293.25152690406,329546.3987191528,371877.2856798809,218107.40256633383,153053.9880030232,104730.36436004197,60697.11208211095,94635.12375356292,134262.2330431812,128785.85683971578,45938.90077884959,61652.24830471203,33703.290324817965,32591.434460857578,22796.600765197865,12653.848706873601,14332.19165697688,22648.87527379897,18032.549150533676,17189.21725414696,9787.915255465641,21310.028873728246,11002.628430749275,9211.513850790518,8039.3597521406555,5789.401392554425,6518.065554277491,4395.117693889213,5057.03577953407,5773.02330308988,3860.6461640391844,2604.9111653009345,2430.2618644931267,2550.638854425239,1964.729343576837,2016.1129432968141,1764.8524849850276,1286.0934820407213,1462.8093087626107,1492.513423219938,1253.4305336502005,1263.1345736129188,1199.0416174179093,1041.8424771098494,979.0072587727065,1023.9572875240024,899.2665330464541,872.1879766858242,840.2772545138157,856.5878404353354,857.020697584804,847.8591033595214,778.5446768820804,804.7380922681263,618.7798433351104,707.7408887706914
CMAES,F5,0.8170769214630127,"[ 0.41959235  0.69832639  0.66347752 -0.64142587  1.26180326  0.66117217
  0.16537171 -0.02609591  0.01473366 -0.23948324  0.81773209 -0.29414523
 -0.29844216  0.72660695  0.69318372  0.84638835  0.20194474  0.45502531
 -0.66039851  0.23107873  0.46742496 -0.79336475  0.07241047  0.84056052
  0.63851258  0.11237616  0.47586368  0.69115367  0.33199971  0.09391014]",415010270.9587687,404024458.62442285,391211131.14096475,379140957.1149686,372239428.8577325,361537016.82995176,343729673.91869396,332141475.1412381,316412410.7654401,299631052.6200668,272055333.56364197,249778647.87236083,238353975.89182615,211026071.3335638,186251414.6782422,170679843.90277317,134083491.41376077,126210586.82721965,101184718.31798106,91548872.30594806,61859223.79038529,44570468.530142784,39857619.24049162,46445389.59242393,42603368.857011855,19989241.915076524,53661052.69359472,51058090.6173426,61909326.91753407,54498445.263126634,46381718.90528656,52488762.8796776,47492816.99486644,35122589.10985181,38547315.08335651,36068444.66357194,26960356.87560214,19492522.529617146,9765258.274430735,11416251.343662595,15529675.490846956,4708991.478594896,10996044.198863167,6470449.997245306,4910440.978734695,4506436.184559993,5537852.734435794,3185262.714837534,1197929.5483305457,1317832.7670401994,1382383.5270669432,1637366.714977251,1015526.6761315325,1315835.9191737378,1067496.3534785027,1176456.0853903175,952949.2590165255,454907.705809382,492833.0865220148,434588.78155802994,215677.9954657198,359648.25036653096,349714.7101783992,255847.27750442832,291620.3198030368,250802.27766581945,239162.04664025086,278220.0579491467,337246.38674812834,130965.57533000738,135409.6704644421,118644.78881043731,96620.52450157281,88297.43098594673,73766.31043601013,69072.49706205633,58672.139393042875,46254.39595231117,59964.126949197365,53405.7827492934,56263.93484321643,53593.87162965651,45324.11439855698,45787.0885857559,37561.12170585606,31456.646399236335,45978.4105558777,32277.18392926798,34093.682731476096,27622.721123134936,35579.17284723064,21065.297505245286,21229.762452291943,25716.45616801428,19082.461497942986,16618.71990842242,17622.684648089402,14901.21347745839,11555.293563742069,14336.552544592545,14354.920034219012,12938.533272546494,11868.321145598638,9541.370978551307,11625.883425329332,6962.085181444445,8443.05858043581,4280.2253827796585,3575.2276074389047,3710.5253401480422,3852.716753116523,3851.7746788839722,3766.5805085294587,3099.327779217957,3424.036921476728,2303.9691752381855,1858.0599614583077,1390.0285495520604,1807.8857627784312,961.3414438316311
CMAES,F5,0.7865951061248779,"[-0.09268142 -0.27265778  0.4313777   0.03251252 -0.39506234  0.03888407
  0.05639347  0.33162094  0.09001171 -0.01480671  0.20331587 -0.23866523
  0.2345846  -0.08054351 -0.27421167 -0.18495124  0.35095128 -0.30557449
 -0.10604595  0.43547809  0.31954143  0.38275476  0.22810235  0.14368606
  0.17710042 -0.06735124  0.19532694 -0.01740089 -0.18176548  0.35863023]",523369711.8478565,509070243.25908715,497776445.0109205,484005066.89891267,465321160.11663413,456759613.8747246,420688996.7393942,406479757.03329706,388806815.58646166,366460810.5063256,337794452.67108,294581712.9132725,273496585.2312989,243188258.6389706,207153753.65217394,185082570.05351454,157594411.96398187,152316952.6511657,143323173.90429068,117694543.24943283,108432654.66463134,80870439.87953751,58198945.89682714,79270957.4483609,73907131.14419168,88369271.56520388,76509589.68267769,45666050.376896165,47662931.5887347,28617871.22489875,15036306.678815912,16650325.12545256,22781238.882911943,14912537.40683911,19469309.678704135,16888743.847799167,14480966.096783018,15054408.604031995,12061838.244272692,8617715.09119023,5948245.518897897,4764828.0426741475,5373984.48434055,5904643.433763518,4482025.249636561,3270792.845470826,2713627.536700566,2919889.252048671,2266402.6262331316,2306038.7501937407,938601.249187325,713746.6471415632,826611.9600175966,319077.5122781713,360631.6446250205,291701.2548948836,191974.07837522175,153551.1243554721,113101.03484759973,144620.37897622227,101568.35474692794,138087.82541826254,101709.01713105178,130988.44301533689,92477.37792974563,68985.21765937522,83761.49700830717,39710.317654819824,29859.918353328627,45007.622747469046,30129.695463867443,37560.86488955522,35192.28222506433,28805.818697783005,25300.178386896398,19744.27627071649,17729.499039057784,11932.436186671588,16794.55386308448,13905.3195765749,8388.450759740756,11129.10355518669,8210.13572771171,5996.868662865311,5356.523006872682,4604.887523040967,3391.594994889771,2519.937918013462,4013.6372028197084,3601.536390755846,3391.7911691232825,3003.7422570307403,4525.8093212953745,2801.5199676531697,2563.379953670968,1712.3184859374812,1660.7740731868125,919.2706818677462,816.109039508569,631.969370987729,731.0830622148642,840.1205548831857,1030.360752705924,777.2873362396588,883.0520358406968,678.0734610993683,569.5647970652633,515.6187378314895,504.9206648916374,552.7569470010404,340.05647167407824,376.5607449474697,398.3638008946267,371.54311797936236,249.86166491770462,193.4358607503401,303.72023719115185,243.20558912448382,202.70530910811388,214.20802732327593
CMAES,F5,0.7776522636413574,"[-0.13251858 -0.03713506 -0.51629118  0.39528394  0.53877034  0.51523288
  0.38154863  0.33395156  0.82116849  0.82129174  0.17401028 -0.29836609
  0.72426833  0.33366682  0.09561506 -0.28123338 -0.25529937 -0.22160754
  0.73397481  0.49199542 -0.44577305  0.47625211  0.17897131  0.15636595
  0.2326043   0.45447058  0.47578123  1.95606724  3.85506394 14.29124683]",515496923.76623994,495482469.4373584,491168950.3833132,489019327.76717865,474493215.50363827,452683373.3452661,447001214.11479217,428134540.004541,414678840.70703655,399288629.8543071,389939363.89078456,362672717.1046935,334374797.93511254,322027381.9534016,293192536.7773169,283051759.1743297,258937904.27145696,243198191.64161855,212133198.72395498,191399511.27352914,169005311.02315247,168699663.53029215,133662875.39721274,109499820.88751698,114185808.88859585,95788393.91235162,77818853.42051695,39253644.928701974,28185938.139416758,35879025.09612711,30137579.220990974,26993648.90368952,17524234.87979005,15777128.266857268,23593504.957165074,12789322.719314512,15222719.188554939,14966981.25518397,23067473.51415353,28311719.93593886,24955992.133806016,17199169.58185552,7712302.196280382,5095935.31912309,6889126.222859163,4810188.106228086,6961143.46138,4166249.1538108,4642610.516652719,3192527.3497563056,5916855.2252891585,4382895.871364791,2007983.2445575933,1929482.5679887056,1383022.6058005404,1206022.8964545196,1035881.3186884695,993183.1590010013,873372.896426584,658549.101392206,870263.1115881947,681588.3548804478,705464.0371206965,681802.657903712,627180.0375882934,536468.5520004048,236782.3450144747,193001.15605976223,261814.34988821222,87204.28717015655,91896.61370881116,90368.11316360185,104130.67015991508,99878.44040584136,79041.1900831219,48797.73670760497,64686.446338753325,50451.25389336315,46059.98245538617,47301.081208082505,40291.947222985524,29802.6141612208,12499.06157678434,21549.112755340877,9811.317419465018,9701.656569361445,14359.130411936578,8966.944970293367,9853.110260563668,12992.008333522577,6455.79823327236,3026.2220210169194,6590.63997481339,4532.584807861717,4555.854599105185,6047.873757173317,4340.758708479106,4069.975800359864,2090.3287479310566,2632.9563789365534,2426.8033905423918,2721.657226883454,3038.1267368245058,2445.5587242028428,3232.026117265925,1965.0559709079262,1567.0664882801163,1123.3909569422067,705.9705769558976,1281.889204967545,1644.841291030318,1442.1227304185272,976.7630695898333,952.707162247704,1026.670796281004,1072.4204637776606,1060.8336013159037,745.6047599888162,995.2914735617669,725.3678089079037
CMAES,F5,0.8002948760986328,"[-1.69558030e-02 -4.12701809e-01  1.51848113e-01  1.70333007e-01
 -7.47253247e-01  5.68644331e-01  4.28972779e-01 -1.43719838e-01
  3.23673939e-01 -1.28085293e-01  5.24824700e-01  5.14990746e-02
 -2.15960475e-02  6.35761296e-01  1.64869415e-01 -1.76061774e-01
  2.14808842e-02  6.74602502e-02 -9.73548066e-02  4.04913532e-01
  2.40162736e-01 -2.15898906e-01  1.20709649e-01  5.12858683e-01
  4.81833831e-01  5.64268002e-01  1.21990028e+00  2.23299753e+00
  5.07915079e+00  2.50861179e+01]",216691687.3291563,210832174.78744036,199295703.92578354,192579344.26895544,184838578.76328444,178286864.79875603,164792987.4861919,158388127.70781967,153966394.37466145,140267028.49309528,128693144.85974586,116443091.00558138,104085908.16423528,94414627.07958187,79047942.36575337,72500340.99094081,62021115.105358176,51210940.067882426,44775945.61451624,32297636.228825647,26699872.900459003,18093908.407638613,12155743.118477426,13209986.675601704,8575134.865788491,9418355.002038015,7682768.826936156,11783968.646618772,14704364.878887434,10703182.244190682,10401183.122384517,8676651.3504566,11306143.631180665,8084944.930711805,12682151.55525629,12832842.854019042,2943111.926163248,8221764.513817397,4835033.143907394,7176032.02270441,1749168.6262267835,3422550.6952656526,3816218.6552555864,3029105.6367770047,2096010.4979471473,1860299.196402853,1577643.9315053378,1159674.5890720638,673426.4535568616,390703.41262517864,400668.60222818516,207915.28516583866,195142.4455961003,62916.20758388824,170368.88942778207,125356.69524670545,174042.38322959942,61664.59779099806,86631.46858077793,76739.57270474004,43733.119843049164,43946.4674022734,21992.625488119163,26806.129486007274,42339.45179058112,39169.82768429452,28239.72505491682,26264.091647566962,21950.442945100247,15614.716996000603,14527.91454706465,15696.532441042395,4626.105300438735,7010.715744485448,11106.683942270125,9232.677455066485,6809.2618168069275,4273.4094435419065,5103.476626795251,2800.6237493099343,4285.388723795517,2978.898718741785,2809.2184779099,3885.7192972087723,3662.2658121024992,3534.8739348990257,4203.930908953658,2046.447782803965,2539.3285412414716,3000.214274679355,1989.435931914936,2198.7627796677925,2021.320929815139,2528.3977366759736,2029.5356824270877,2213.8825692271516,1328.8838779732785,1412.6395057938478,2006.833629953634,1476.552810414354,1499.5497361199668,1689.7098539392578,1344.999188200769,1434.0591381134852,976.5660925732641,1126.0363821618748,1115.7494920963215,885.9658076091969,705.2876557706835,758.3754893882065,716.3461853822955,766.4318480064181,645.649559978281,774.9982876921717,726.5005209006171,564.1426365701042,644.6423479754909,580.0765920540133,549.0591428921135,482.3224805641014
