Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50,Iter51,Iter52,Iter53,Iter54,Iter55,Iter56,Iter57,Iter58,Iter59,Iter60,Iter61,Iter62,Iter63,Iter64,Iter65,Iter66,Iter67,Iter68,Iter69,Iter70,Iter71,Iter72,Iter73,Iter74,Iter75,Iter76,Iter77,Iter78,Iter79,Iter80,Iter81,Iter82,Iter83,Iter84,Iter85,Iter86,Iter87,Iter88,Iter89,Iter90,Iter91,Iter92,Iter93,Iter94,Iter95,Iter96,Iter97,Iter98,Iter99,Iter100,Iter101,Iter102,Iter103,Iter104,Iter105,Iter106,Iter107,Iter108,Iter109,Iter110,Iter111,Iter112,Iter113,Iter114,Iter115,Iter116,Iter117,Iter118,Iter119,Iter120,Iter121,Iter122,Iter123,Iter124,Iter125,Iter126,Iter127,Iter128,Iter129,Iter130,Iter131,Iter132,Iter133,Iter134,Iter135,Iter136,Iter137,Iter138,Iter139,Iter140,Iter141,Iter142,Iter143,Iter144,Iter145,Iter146,Iter147,Iter148,Iter149,Iter150,Iter151,Iter152,Iter153,Iter154,Iter155,Iter156,Iter157,Iter158,Iter159,Iter160,Iter161,Iter162,Iter163,Iter164,Iter165,Iter166,Iter167,Iter168,Iter169,Iter170,Iter171,Iter172,Iter173,Iter174,Iter175,Iter176,Iter177,Iter178,Iter179,Iter180,Iter181,Iter182,Iter183,Iter184,Iter185,Iter186,Iter187,Iter188,Iter189,Iter190,Iter191,Iter192,Iter193,Iter194,Iter195,Iter196,Iter197,Iter198,Iter199,Iter200,Iter201,Iter202,Iter203,Iter204,Iter205,Iter206,Iter207,Iter208,Iter209,Iter210,Iter211,Iter212,Iter213,Iter214,Iter215,Iter216,Iter217,Iter218,Iter219,Iter220,Iter221,Iter222,Iter223,Iter224,Iter225,Iter226,Iter227,Iter228,Iter229,Iter230,Iter231,Iter232,Iter233,Iter234,Iter235,Iter236,Iter237,Iter238,Iter239,Iter240,Iter241,Iter242,Iter243,Iter244,Iter245,Iter246,Iter247,Iter248,Iter249,Iter250
CMAES,F5,1.69,456571176.25,448088229.24,435944560.75,425867450.09,413788832.53,401040420.34,386200656.74,371308758.41,353559580.46,337515431.7,317396393.42,296407462.42,275964849.7,250318543.62,223737542.69,200906819.73,174627604.32,149771882.56,125129367.37,106115075.82,89946254.26,74012043.15,63633642.31,53555759.54,46525562.24,42745998.99,37900549.42,32942096.22,32909044.91,32074665.95,31283723.3,31245964.82,30608444.63,29678368.87,28941859.45,23557514.67,22151337.21,17683994.06,15566234.49,13995984.34,10865202.86,10638648.94,9318117.94,7132669.41,6388909.17,5163159.92,3958932.44,3878796.0,3206077.79,2291341.97,2129513.29,1856257.07,1362535.46,1317389.97,1075729.14,896262.77,730398.15,610888.9,530665.18,456923.76,404533.13,327279.19,280235.76,236925.48,206128.4,172220.27,145443.54,134649.64,115546.8,93872.02,86697.49,73702.19,65551.98,61207.85,50946.42,43590.87,40490.27,35564.72,32019.37,28469.94,24497.16,24287.25,21779.88,18465.79,18357.48,16453.59,14638.82,12985.1,11950.06,11472.16,10416.38,8942.91,8429.41,7812.78,7223.89,6532.09,6086.44,5879.41,4958.26,4975.44,4508.05,4143.25,3751.03,3622.65,3280.93,2953.57,2857.65,2539.51,2603.35,2424.87,2127.65,2081.2,1891.91,1659.95,1431.29,1449.0,1239.91,1181.98,1191.12,1139.25,1024.32,935.36,906.07,891.44,853.29,830.82,713.2,667.18,655.66,604.09,585.85,528.16,513.61,500.65,459.85,464.2,438.59,427.12,411.14,403.9,396.78,382.16,377.79,356.41,361.95,344.7,339.93,340.08,327.07,323.32,314.72,309.98,306.1,300.75,296.71,291.58,283.54,277.17,274.39,271.67,269.62,263.09,262.52,259.72,254.73,254.3,248.3,248.23,244.07,239.18,235.5,234.38,230.6,227.17,226.58,222.96,216.5,218.55,213.99,212.38,208.95,206.05,205.66,204.87,202.9,198.61,199.58,198.31,194.15,194.18,191.19,179.39,183.28,184.42,178.36,177.77,171.34,170.53,166.57,164.25,164.19,163.24,166.21,160.17,158.7,155.85,153.64,151.9,152.76,145.87,150.87,145.28,142.99,142.77,141.41,136.94,134.96,128.83,133.44,132.02,127.47,123.04,121.05,119.93,120.63,116.15,118.26,115.74,112.95,109.44,109.2,109.66,109.61,109.17,107.4,105.56,108.31,105.31,104.47,103.53,100.43,103.18,100.24,99.23,99.64,98.58,99.21,97.27,99.78,99.91
CMAES,F12,2.1,1165070098.1,1143197236.68,1121063673.97,1094964439.01,1066378868.04,1039568205.39,1010396258.49,974962263.99,936362330.5,894877128.53,851628407.81,797779190.6,742799855.29,684829740.78,616914632.01,550372723.58,486587216.91,428046430.31,359624395.15,301446759.16,252087718.68,213418861.35,172872524.0,136628926.45,113376961.46,87200033.76,72685522.62,57060189.81,50169983.83,42687177.17,40376896.56,37367032.27,31736220.1,25379563.55,24513332.47,19664082.07,18614246.81,18279169.15,14750839.18,11052904.81,9856410.51,9523522.69,8301227.32,5270396.67,4008917.28,3076725.59,3090006.73,1705881.98,1847181.44,1250530.94,918774.11,676520.07,345344.05,309916.33,149065.5,122948.03,62883.63,77021.43,43535.19,23068.65,26668.56,11387.16,3849.13,2840.47,3048.42,2077.07,5368.34,1199.32,985.5,553.26,71.93,81.73,170.94,14.54,18.4,12.1,10.55,9.78,9.06,8.38,8.07,7.34,6.75,6.25,6.16,5.71,5.32,5.05,4.74,4.44,4.09,3.98,3.63,3.4,3.25,3.02,2.74,2.6,2.34,2.37,2.03,1.88,1.77,1.68,1.52,1.44,1.25,1.24,1.02,0.96,0.89,0.85,0.73,0.71,0.64,0.63,0.56,0.53,0.48,0.45,0.41,0.37,0.32,0.32,0.29,0.27,0.24,0.23,0.2,0.19,0.18,0.17,0.15,0.14,0.12,0.12,0.11,0.11,0.1,0.09,0.08,0.08,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMAES,F13,2.29,2177990163.05,2142824148.86,2107072606.77,2072189148.39,2031217828.52,1986572043.12,1936409950.51,1875540623.4,1816026858.18,1752100456.33,1678823411.41,1607962728.8,1511054467.01,1410363263.12,1315817542.92,1194088244.33,1088795720.8,969627208.62,854683612.01,744224729.29,623783595.89,525132746.49,444355419.28,369189781.7,307453320.96,263834595.21,213766651.73,175758960.76,141373887.66,126134703.29,119828121.44,112563515.74,96714238.64,107075892.62,114916278.29,102550592.08,103959825.45,85227926.69,80684089.72,74584733.63,67802710.29,55474490.06,44498157.07,44433400.31,32685843.86,26230364.3,21137328.34,16425617.06,15157248.34,8941449.47,7470620.68,5098765.44,4535946.38,3229931.72,2787968.26,2105396.64,1534153.24,1218368.79,820132.28,686239.16,546308.17,396077.76,414186.21,211831.91,138793.91,103914.4,82893.13,51131.07,40989.97,34143.11,27338.97,13318.22,12448.19,11709.8,7262.78,2582.91,2800.21,1455.19,880.48,678.35,494.49,233.67,180.54,71.0,33.98,33.73,48.96,36.1,16.37,14.93,14.38,12.82,11.73,10.44,9.63,9.25,8.32,7.72,7.02,6.38,5.96,5.63,5.22,4.62,4.36,4.05,3.72,3.36,3.14,2.89,2.51,2.44,2.16,1.98,1.79,1.69,1.55,1.45,1.26,1.17,1.06,0.95,0.89,0.82,0.74,0.68,0.64,0.57,0.53,0.5,0.47,0.41,0.38,0.35,0.34,0.31,0.29,0.26,0.25,0.23,0.22,0.2,0.19,0.18,0.16,0.15,0.14,0.14,0.12,0.12,0.1,0.1,0.09,0.09,0.09,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,F5,10.53,0.0,27446802.06,8758782.7,5757670.2,4454482.5,3804933.55,3363744.22,3048092.01,2827220.38,2652652.06,2522159.77,2422377.29,2346321.28,2287201.04,2239980.32,2206123.29,2186655.33,2174685.76,2169526.77,2167913.34,2167913.34,2167913.34,2167913.34,2167913.34,2167913.34,2167913.34,2167913.34,2167913.34,2167913.34,2167913.34,2165707.64,2161516.95,2157705.42,2154209.39,2150988.81,2148017.28,2145275.89,2142749.45,2140424.44,2138287.95,2136826.37,2136826.37,2136826.37,2136826.37,2136826.37,2136826.37,2136826.37,2136826.37,2136826.37,2136826.37,2136826.37,2136826.37,2136826.37,2136826.37,2136826.37,2136826.37,2133781.14,2128919.51,2127401.49,2127401.49,2127401.49,2127401.49,2127401.49,2127401.49,2127401.49,2127401.49,2127401.49,2127401.49,2127401.49,2127401.49,2127401.49,2127401.49,2125707.63,2123912.35,2111824.18,2108613.69,2092966.28,2090552.25,2087002.69,2082090.57,2068906.37,2032637.45,2030367.85,2027042.17,2025248.6,2018799.69,2006471.07,1986501.55,1932563.59,1908082.75,1873660.29,1837477.62,1746055.97,1670764.75,1580967.72,1534025.98,1469326.61,1357322.88,1277026.45,1187396.91,1095170.1,956601.63,861049.14,770972.56,669757.86,572620.44,515703.07,448687.01,371706.65,335077.16,294818.02,247328.48,216407.91,189237.95,170149.79,144762.35,125847.37,107383.4,89737.16,76246.46,65681.19,56867.44,47440.9,38932.22,32290.2,27505.0,23187.77,20070.29,16674.45,14524.36,12346.5,10698.86,9100.58,8020.84,7171.35,6233.58,5501.25,4816.4,4272.94,3871.05,3567.87,3231.04,2917.16,2640.21,2399.61,2213.72,2032.82,1869.43,1747.13,1622.74,1519.02,1426.27,1353.41,1285.99,1221.58,1165.75,1118.34,1074.88,1036.03,1005.51,974.92,944.05,918.09,894.49,873.79,855.9,840.12,824.58,811.55,800.83,789.5,779.18,770.06,761.68,754.06,747.56,741.53,735.93,731.03,726.21,722.03,718.21,714.31,711.01,708.09,705.39,702.96,700.92,698.92,697.05,695.4,693.89,692.57,691.37,690.36,689.33,688.39,687.56,686.86,686.19,685.56,685.02,684.55,684.13,683.75,683.39,683.08,682.79,682.53,682.28,682.07,681.87,681.69,681.54,681.41,681.29,681.18,681.08,680.99,680.92,680.85,680.79,680.73,680.68,680.64,680.6,680.57,680.53,680.51,680.48,680.46,680.44,680.42,680.41,680.4,680.38,680.37,680.36,680.36,680.35,680.34,680.34,680.33,680.33,680.32,680.32,680.31,680.31,680.31,680.31
SSA,F12,11.56,0.0,23091974.69,3059962.56,1053120.79,577770.83,396280.1,295459.64,222498.13,187599.37,166697.97,150789.83,139457.42,132102.17,124909.76,120646.35,117717.54,115622.86,113929.89,112423.92,111861.0,110218.54,108181.07,106396.72,104975.72,103944.64,103198.41,102662.19,102282.51,102282.51,102282.51,102282.51,102282.51,102282.51,102282.51,102282.51,102282.51,102282.51,102282.51,102282.51,102282.51,102282.51,102282.51,102282.51,102282.51,102282.51,102282.51,102282.51,102282.51,102282.51,102282.51,102282.51,102282.51,102282.51,102282.51,102282.51,102282.51,102282.51,101571.12,101039.58,100947.5,100947.5,100947.5,100947.5,100947.5,100947.5,99456.33,97340.57,96099.94,93724.33,91876.77,89961.35,88374.21,86663.07,85336.67,84211.26,83022.72,83022.72,80385.85,79913.61,76610.54,76216.71,75386.25,74947.0,74499.05,74283.58,71328.72,69804.16,65110.46,64321.48,61383.48,58231.06,53097.51,51625.96,50506.22,46261.82,40675.08,39512.15,33911.19,27876.86,25021.9,16398.53,14295.97,12213.08,10223.84,8081.12,5876.19,4412.03,3741.02,2021.5,1601.99,1231.11,706.28,538.17,481.23,376.22,329.69,238.56,157.03,113.1,62.12,57.15,46.03,29.73,28.23,27.5,25.65,24.9,22.94,22.06,20.74,20.03,19.24,18.6,18.05,17.24,16.56,16.08,15.67,15.07,14.6,14.22,13.57,13.04,12.52,12.11,11.69,11.32,10.99,10.71,10.39,10.07,9.83,9.56,9.33,9.15,8.97,8.81,8.64,8.47,8.32,8.21,8.09,7.99,7.88,7.8,7.71,7.64,7.57,7.52,7.46,7.4,7.36,7.31,7.27,7.24,7.2,7.17,7.14,7.12,7.09,7.07,7.05,7.04,7.02,7.01,6.99,6.98,6.97,6.96,6.95,6.94,6.94,6.93,6.92,6.92,6.91,6.91,6.91,6.9,6.9,6.9,6.89,6.89,6.89,6.89,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87
SSA,F13,11.7,0.0,88211326.45,20287575.75,10304136.24,6720945.31,5222797.64,4318385.95,3730208.39,3299133.15,3007022.39,2803978.7,2640869.73,2544458.52,2456168.52,2393773.62,2347322.0,2318277.53,2307010.89,2301416.58,2300453.11,2300011.45,2300011.45,2300011.45,2300011.45,2300011.45,2300011.45,2300011.45,2300011.45,2300011.45,2300011.45,2300011.45,2300011.45,2300011.45,2300011.45,2300011.45,2300011.45,2300011.45,2300011.45,2300011.45,2300011.45,2300011.45,2300011.45,2300011.45,2300011.45,2300011.45,2300011.45,2300011.45,2300011.45,2300011.45,2300011.45,2300011.45,2300011.45,2300011.45,2300011.45,2300011.45,2300011.45,2274853.23,2274853.23,2274853.23,2274853.23,2274853.23,2274853.23,2271212.84,2260308.11,2247742.24,2222977.11,2199710.12,2181863.99,2167687.33,2156208.74,2145124.47,2138843.88,2085159.33,2072805.48,2048193.1,2036450.57,2024957.41,2017642.3,2014817.83,2002929.99,2001382.44,2000194.85,1894116.68,1887451.16,1856176.61,1827930.29,1798951.23,1784943.96,1778226.39,1751478.96,1707262.34,1644427.55,1554920.57,1529000.16,1475626.27,1386726.11,1275835.78,1126739.41,987439.44,875775.46,799864.21,686662.57,639032.55,577049.1,464616.99,395474.12,340031.9,261207.07,215533.09,170963.63,146363.2,111712.42,88336.11,63322.03,49148.09,41698.62,33058.0,28301.43,19838.05,13589.16,9906.11,7004.62,4196.45,2884.0,2060.57,1541.3,1241.43,955.53,744.7,625.89,434.96,324.57,250.36,190.16,121.57,81.81,60.82,54.29,44.49,42.31,40.04,38.25,36.64,35.78,34.67,33.69,32.57,31.59,31.13,30.76,30.48,30.4,30.27,30.13,30.06,29.92,29.85,29.81,29.61,29.52,29.35,29.21,29.0,28.82,28.53,28.24,27.72,27.49,27.18,26.88,26.63,26.39,26.24,26.0,25.76,25.56,25.32,25.16,25.03,24.89,24.78,24.65,24.55,24.43,24.33,24.25,24.18,24.1,24.04,23.99,23.94,23.89,23.85,23.82,23.78,23.76,23.73,23.71,23.69,23.67,23.65,23.64,23.63,23.61,23.6,23.59,23.58,23.58,23.57,23.56,23.56,23.55,23.55,23.55,23.54,23.54,23.54,23.53,23.53,23.53,23.53,23.52,23.52,23.52,23.52,23.52,23.52,23.52,23.52,23.52,23.52,23.52,23.52,23.51,23.51,23.51,23.51,23.51,23.51,23.51,23.51,23.51,23.51,23.51,23.51,23.51,23.51,23.51,23.51,23.51
PSO,F5,4.8,280829792.63,139324784.51,54389184.76,19426917.06,9235305.99,6792882.89,5823041.96,4946653.37,4292996.77,3675928.09,3216436.05,2756190.48,2347897.86,2114135.0,1860874.45,1694605.82,1551569.3,1431471.47,1305813.02,1163293.69,1067645.3,955668.46,875804.38,787508.29,716936.86,663495.6,601328.27,574160.38,543541.88,505841.85,477492.68,436697.93,407437.6,383117.82,361458.17,345522.02,328367.62,303848.49,283248.62,259748.5,249918.01,236174.2,231818.23,217874.14,214348.15,208196.4,196075.3,189816.83,181385.27,176402.2,164167.69,157585.43,153438.18,145906.69,144263.07,138257.47,135145.02,132338.57,128843.17,124421.24,119927.95,115832.3,112095.84,107635.37,104951.64,102104.87,97614.83,92026.16,89263.83,85930.42,79579.49,77091.19,74416.15,72187.34,70408.7,68607.55,63274.9,61102.4,60331.23,58518.34,56894.52,54490.55,53133.59,51121.6,48054.87,46752.06,43911.21,41540.75,40068.58,39176.3,37927.29,37059.7,36174.26,34113.41,32910.37,32057.42,30963.13,29864.88,28425.03,27517.64,26381.51,25304.39,24490.17,23291.66,22020.39,21016.03,20644.08,19842.24,19037.66,18476.14,17687.54,16738.86,16259.63,15683.27,14928.46,14086.93,13594.47,13095.42,12654.31,12455.25,12192.15,11387.89,11059.09,10808.21,10496.25,10127.67,9850.18,9215.32,8806.72,8450.64,8229.26,8027.64,7881.47,7676.28,7419.18,7051.77,6887.51,6541.46,6386.21,6228.86,6029.78,5805.4,5660.85,5442.26,5284.63,5149.61,4929.95,4740.85,4589.19,4486.44,4317.54,4205.8,4010.89,3832.83,3702.68,3550.31,3452.94,3332.16,3241.38,3115.59,3048.93,2958.29,2868.83,2795.85,2670.15,2533.98,2438.1,2368.26,2281.92,2179.0,2128.74,2034.22,1971.94,1943.56,1873.11,1800.29,1760.46,1719.99,1657.98,1578.03,1509.49,1467.94,1428.47,1411.06,1380.69,1337.37,1303.76,1271.72,1226.32,1191.14,1161.89,1137.07,1121.68,1102.13,1069.54,1038.12,1019.51,983.89,967.71,936.57,923.92,904.34,888.28,864.22,845.1,826.38,808.41,792.66,784.48,770.2,758.3,738.09,722.83,709.5,701.51,689.85,674.39,662.85,649.52,644.05,631.25,622.71,613.94,607.85,600.91,594.06,587.72,581.03,574.48,569.58,565.35,557.55,552.79,549.36,541.94,536.78,532.59,527.43,523.53,518.87,513.94,510.3,506.68,504.11,500.09,497.45,493.25,489.25,485.86,482.76
PSO,F12,5.3,611415445.18,368464872.77,167631080.19,61882219.76,18313619.27,4070311.26,1135792.22,401890.68,231952.76,145034.12,76637.58,55819.78,27515.58,17047.12,9256.72,5961.45,5000.07,3058.1,2129.06,1462.93,877.59,686.74,588.73,497.12,479.73,216.24,213.87,198.9,197.1,157.9,150.31,51.45,42.36,41.42,32.49,30.92,29.74,27.61,26.6,21.89,19.5,18.69,17.52,16.96,15.95,15.53,15.27,15.0,14.66,14.0,13.55,13.03,12.5,12.16,12.04,11.7,11.33,10.9,10.69,10.31,10.11,9.88,9.79,9.53,9.39,9.14,8.86,8.59,8.43,8.25,8.07,7.8,7.59,7.45,7.35,7.2,7.0,6.85,6.71,6.61,6.42,6.36,6.3,6.22,6.03,5.93,5.86,5.78,5.46,5.36,5.24,5.23,5.05,4.87,4.81,4.68,4.61,4.51,4.49,4.39,4.21,4.12,3.99,3.93,3.84,3.77,3.67,3.59,3.49,3.43,3.36,3.32,3.2,3.15,3.08,3.03,2.93,2.8,2.75,2.7,2.64,2.59,2.51,2.42,2.37,2.28,2.24,2.19,2.09,2.01,1.95,1.92,1.87,1.81,1.76,1.7,1.68,1.63,1.59,1.54,1.49,1.45,1.41,1.36,1.3,1.27,1.24,1.17,1.14,1.11,1.09,1.05,1.02,0.99,0.95,0.92,0.9,0.87,0.85,0.83,0.81,0.8,0.76,0.75,0.73,0.72,0.69,0.67,0.66,0.63,0.6,0.58,0.57,0.55,0.54,0.52,0.5,0.49,0.48,0.46,0.44,0.44,0.42,0.41,0.4,0.39,0.37,0.36,0.35,0.34,0.33,0.32,0.32,0.31,0.3,0.29,0.28,0.28,0.27,0.27,0.26,0.26,0.25,0.25,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12
PSO,F13,5.46,1182075824.8,764870777.08,393180840.04,188107934.98,78468290.61,28716285.26,11327926.36,5549518.9,3218377.31,2207528.29,1566176.69,1253325.99,968025.66,714281.97,608743.03,481086.87,362576.02,294834.43,239321.55,209380.6,167106.22,146030.35,115975.76,98209.16,81661.29,70101.61,60368.55,48047.78,36483.07,28977.82,26336.16,21789.29,18027.79,16779.68,14840.19,13080.82,11119.12,10869.5,9683.83,7901.54,6827.44,5417.43,4579.45,4028.2,3652.39,3354.95,2955.8,2877.23,2532.79,2365.81,2213.32,1653.51,1219.67,1067.15,1046.75,984.48,949.69,727.17,674.36,670.39,380.9,379.0,363.1,290.73,269.66,241.06,239.51,124.51,120.67,111.94,83.92,80.51,71.14,62.39,55.8,48.64,45.76,44.31,36.42,33.07,29.67,28.78,28.31,27.41,26.73,26.1,24.66,23.86,21.41,20.56,19.57,19.28,18.85,18.2,17.96,17.74,16.85,15.93,15.68,14.82,14.4,14.08,13.59,13.04,12.85,12.36,12.02,11.73,11.35,10.9,10.67,10.17,9.9,9.41,9.07,8.92,8.57,8.24,7.95,7.67,7.36,7.18,7.01,6.77,6.65,6.51,6.38,6.16,6.06,5.93,5.69,5.46,5.43,5.27,5.1,4.91,4.79,4.64,4.53,4.37,4.25,4.16,4.05,3.93,3.79,3.71,3.59,3.47,3.42,3.34,3.25,3.16,3.05,2.89,2.82,2.73,2.69,2.63,2.54,2.45,2.4,2.33,2.27,2.21,2.11,2.03,1.96,1.9,1.82,1.76,1.67,1.62,1.57,1.51,1.46,1.44,1.39,1.35,1.32,1.28,1.22,1.19,1.15,1.1,1.06,1.03,1.0,0.96,0.92,0.89,0.86,0.84,0.82,0.8,0.78,0.76,0.74,0.71,0.69,0.67,0.65,0.64,0.61,0.59,0.57,0.56,0.54,0.52,0.51,0.5,0.48,0.47,0.45,0.44,0.42,0.41,0.4,0.39,0.37,0.36,0.35,0.34,0.33,0.32,0.32,0.31,0.3,0.29,0.28,0.27,0.26,0.26,0.25,0.24,0.24,0.23,0.23,0.22,0.21,0.21,0.2,0.2,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.15
GWO,F5,5.1,280829792.63,225247952.98,152848370.32,109794449.05,75066804.04,51516518.9,36045198.63,24444252.83,17396075.98,13061514.94,8902194.0,6464176.28,4914078.73,3229739.14,2271500.13,1775522.74,1266764.61,828977.68,609098.68,436144.68,309126.65,225164.27,172979.45,122477.02,80789.99,57343.4,41892.51,31795.25,19395.0,14887.12,11045.89,7705.51,5981.6,4684.61,3185.41,2500.41,2017.06,1581.43,1283.03,1099.96,825.75,662.51,549.52,471.04,413.55,366.96,309.87,280.97,253.92,223.84,205.88,168.8,150.54,131.03,116.51,105.96,92.66,83.48,76.69,69.39,65.31,63.01,59.74,55.15,53.42,50.23,48.65,44.06,43.08,41.48,40.57,38.36,37.93,36.22,35.68,34.47,33.49,32.8,32.07,31.57,31.01,30.66,30.56,30.02,29.68,29.56,29.46,29.33,29.21,29.07,28.96,28.94,28.87,28.82,28.76,28.72,28.66,28.65,28.61,28.61,28.6,28.57,28.53,28.51,28.51,28.49,28.48,28.45,28.45,28.44,28.43,28.43,28.42,28.41,28.4,28.39,28.37,28.36,28.35,28.35,28.34,28.33,28.32,28.31,28.31,28.31,28.3,28.29,28.29,28.28,28.28,28.27,28.27,28.27,28.26,28.25,28.25,28.25,28.25,28.24,28.24,28.24,28.23,28.23,28.23,28.22,28.21,28.21,28.21,28.21,28.2,28.2,28.19,28.19,28.19,28.18,28.18,28.18,28.18,28.18,28.17,28.17,28.17,28.17,28.16,28.16,28.16,28.16,28.16,28.15,28.15,28.15,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.13,28.13,28.13,28.13,28.12,28.12,28.12,28.12,28.12,28.12,28.12,28.12,28.11,28.11,28.11,28.11,28.11,28.11,28.11,28.11,28.1,28.1,28.1,28.1,28.1,28.1,28.1,28.1,28.09,28.09,28.09,28.09,28.09,28.09,28.09,28.09,28.08,28.08,28.08,28.08,28.08,28.08,28.08,28.08,28.08,28.08,28.08,28.08,28.08,28.08,28.07,28.07,28.07,28.07,28.07,28.07,28.07,28.07,28.07,28.07,28.07,28.07,28.07,28.06,28.06,28.06,28.06,28.06,28.06,28.06,28.06
